ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;9978;20794;10;     3m 59s 302ms 167μs 776ns;7725.188285;             69ms 641μs 733ns;        44s 274ms 568μs 785ns;0.000000;0.000000
14;19626b;9934;6892;10;    11m 24s 210ms 179μs 123ns;1475.964912;            307ms 393μs 535ns;        50s 794ms 848μs 156ns;1782.000000;0.000000
2;226af;9932;19637;10;     4m 18s 548ms 956μs 755ns;6876.511628;             75ms 819μs 801ns;        38s 808ms 392μs 647ns;527.000000;0.000000
27;92edfd;9950;22425;10;    47m 23s 691ms 602μs 432ns;683.257123;            764ms 452μs 249ns;        58s 383ms 209μs 827ns;1791.000000;0.000000
20;4b5e5a;9964;34270;10;    47m 17s 425ms 596μs 795ns;935.509341;            551ms 926μs 959ns;     1m 39s 123ms 697μs 141ns;1791.000000;0.000000
15;1bd38b;9935;10427;10;    51m 19s 279ms 883μs 406ns;396.791166;         1s 282ms  46μs  64ns;        13s 754ms 469μs 389ns;1791.000000;0.000000
3;429fc;9979;9728;10;     3m 40s 934ms 355μs 139ns;5374.636364;             98ms 103μs 828ns;        23s 460ms 228μs 178ns;537.000000;0.000000
4;56bbb;9900;5553;10;     3m 39s  53ms 231μs 491ns;4233.698630;            122ms 895μs 871ns;        16s 150ms 214μs 570ns;554.000000;0.000000
5;66b6d;9995;4251;10;     3m 44s 306ms   2μs 674ns;3815.892857;            132ms 928μs 640ns;        14s 356ms 671μs 834ns;554.000000;0.000000
25;7ec31c;9944;28038;10;    47m 49s 973ms 276μs  16ns;794.325549;            649ms 281μs 457ns;     1m 12s 241ms 391μs 971ns;1791.000000;0.000000
18;370cd3;9977;27140;10;    46m 39s 201ms 656μs  60ns;795.648446;            649ms 825μs 751ns;     1m  5s 710ms 178μs 554ns;1791.000000;0.000000
6;76381;9945;7307;10;     3m 58s 405ms 587μs 192ns;4349.243697;            117ms 112μs 102ns;        20s 103ms 423μs 726ns;552.000000;0.000000
22;5efce5;9925;30957;10;    48m     871ms 845μs 110ns;851.708333;            610ms 606μs 947ns;     1m 15s 204ms 292μs 107ns;1791.000000;0.000000
13;16dec1;9931;17535;10;     7m 14s 159ms 522μs 448ns;3797.142857;            128ms 610μs  98ns;     2m 10s 779ms 328μs 388ns;1348.000000;0.000000
17;2de07e;9963;15858;10;    45m 26s 616ms 812μs 901ns;568.327219;            901ms 261μs 320ns;        31s 668ms 698μs 886ns;1791.000000;0.000000
24;74a99b;9927;25658;10;    49m 15s 580ms 730μs 180ns;722.538071;            713ms 835μs 518ns;        54s 998ms 662μs 123ns;1791.000000;0.000000
12;143281;9965;18614;10;     7m  2s 842ms 549μs 870ns;4063.364929;            120ms 852μs 511ns;     1m 48s  72ms 411μs 345ns;1242.000000;0.000000
11;11b69a;9912;16861;10;     6m 56s 261ms 526μs 472ns;3861.490385;            127ms 270μs 184ns;     1m 29s  84ms 965μs 695ns;1002.000000;0.000000
19;412458;9930;25800;10;    46m 41s  52ms 203μs 392ns;765.369511;            679ms 448μs 851ns;     1m  5s 556ms 692μs 775ns;1791.000000;0.000000
26;89019d;9922;26388;10;    47m 57s 161ms 963μs 156ns;757.247132;            678ms 216μs 858ns;     1m  9s 616ms 461μs 896ns;1791.000000;0.000000
10;f7850;9909;16627;10;     5m 44s 261ms 696μs 801ns;4628.372093;            106ms 880μs 127ns;     1m  9s 107ms 934μs 555ns;989.000000;0.000000
21;55b4e5;9967;18243;10;    48m 13s 411ms 848μs 321ns;585.067404;            872ms 219μs  62ns;        43s 101ms 131μs 265ns;1791.000000;0.000000
16;24e52a;9933;16678;10;    43m 37s 660ms 205μs 419ns;610.110814;            852ms 229μs 834ns;        38s 490ms  83μs 805ns;1791.000000;0.000000
9;cb053;9987;19295;10;     7m  6s 330ms 278μs 489ns;4124.225352;            119ms 277μs 326ns;        56s 227ms 647μs 561ns;992.000000;0.000000
8;abadc;9969;14185;10;     5m 51s 600ms 308μs 961ns;4128.888889;            117ms 537μs  59ns;        46s 823ms 551μs 550ns;984.000000;0.000000
23;698413;9941;32483;10;    49m 50s 236ms 154μs 500ns;851.317726;            600ms  58μs 213ns;     1m 23s 502ms 416μs 934ns;1791.000000;0.000000
7;88a64;9922;16286;10;     5m  3s 376ms 594μs 847ns;5189.702970;            104ms 393μs 786ns;     1m 17s 607ms 745μs 846ns;970.000000;0.000000
