ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;10000;23909;10;    17m  2s 380ms  33μs 830ns;1990.743640;            296ms 645μs  29ns;     1m  6s 228ms 760μs 390ns;0.000000;0.000000
2;22aac;10000;24898;10;    18m 12s 139ms 902μs 862ns;1917.472527;            301ms  24μs 678ns;     2m 39s 965ms 269μs 514ns;720.000000;0.000000
12;3476f5;10000;72920;10;    39m  8s 829ms 543μs 767ns;2118.909710;            277ms 677μs 268ns;    15m 47s 645ms 100μs 490ns;1373.000000;0.000000
3;4ca40;10000;12923;10;    19m 13s 595ms   5μs 123ns;1192.870772;            494ms 665μs 857ns;     1m  9s 344ms 549μs 955ns;720.000000;0.000000
4;77e44;10000;29621;10;    17m 53s 945ms  87μs 671ns;2215.526561;            264ms 246μs 579ns;     3m 19s 255ms 520μs 363ns;720.000000;0.000000
19;677f8a;10000;134164;10;    72m 12s 334ms 586μs 107ns;1996.731302;            291ms 232μs 598ns;    32m 32s 321ms 734μs 491ns;2011.000000;0.000000
5;a8e56;10000;64369;10;    18m 54s 687ms  64μs 251ns;3934.867725;            148ms 894μs 978ns;     8m 18s       863μs 520ns;879.000000;0.000000
13;3b29db;10000;95171;10;    43m 52s 174ms 526μs 886ns;2397.515198;            242ms 618μs 120ns;    19m 10s 987ms 713μs 881ns;1373.000000;0.000000
6;100824;10000;23670;10;    10m  4s 835ms  82μs 465ns;3344.701987;            174ms 168μs 669ns;     2m 18s   1ms 249μs 381ns;879.000000;0.000000
11;2fe79a;10000;27274;10;    27m  6s 988ms 957μs 899ns;1375.424354;            427ms 284μs 538ns;     4m 25s 548ms 750μs 912ns;1373.000000;0.000000
18;5fa372;10000;94893;10;    59m  6s 570ms 981μs 882ns;1774.839255;            328ms 794μs 838ns;    18m 35s 333ms 171μs 581ns;2011.000000;0.000000
10;2bc72a;10000;37196;10;    28m 17s 574ms 727μs 222ns;1668.685916;            351ms 628μs 350ns;     7m 33s 813ms 274μs 775ns;1373.000000;0.000000
17;59248b;10000;82744;10;    40m 14s 310ms 502μs 802ns;2305.153273;            252ms  36μs 629ns;    22m 56s 978ms 483μs 323ns;1613.000000;0.000000
9;2516a5;10000;74030;10;    37m 52s 766ms 356μs 956ns;2219.102113;            264ms 326μs 139ns;    15m 32s 933ms 176μs 517ns;1373.000000;0.000000
16;519b47;10000;70136;10;    38m 49s  28ms 224μs 766ns;2064.474023;            280ms 479μs 912ns;    14m 59s 293ms 534μs   0ns;1484.000000;0.000000
15;4d124f;10000;55517;10;    31m 58s 941ms 543μs 422ns;2049.541189;            288ms 921μs  77ns;    12m  9s 829ms  61μs 149ns;1382.000000;0.000000
8;17ecbf;10000;171318;10;    50m 50s 259ms 495μs 421ns;3566.911475;            165ms 450μs 889ns;    32m 52s 659ms 723μs 694ns;1013.000000;0.000000
14;42c45a;10000;141143;10;    54m 28s 227ms 122μs 639ns;2774.963280;            210ms 166μs 554ns;    26m 19s 268ms 448μs 433ns;1373.000000;0.000000
20;72991c;10000;114883;10;    55m 40s 727ms 907μs 615ns;2243.407186;            259ms 912μs 139ns;    27m 10s 761ms 493μs  93ns;2011.000000;0.000000
7;128bf9;10000;67798;10;    16m 52s 716ms 754μs 889ns;4612.529644;            126ms 865μs 480ns;     7m 57s 830ms  50μs 831ns;879.000000;0.000000
