ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
18;8ec7;200;5;5;            219ms 262μs 419ns;inf;              4ms  11μs 348ns;              3ms 642μs 721ns;47.000000;0.000000
4;2ce9;200;2;5;            140ms 940μs 206ns;inf;              1ms 938μs 748ns;                  813μs 129ns;12.000000;0.000000
11;5a3b;200;0;5;            167ms 853μs 651ns;inf;              2ms 889μs 978ns;                   52μs 619ns;31.000000;0.000000
23;b89c;200;0;5;            242ms 933μs 497ns;inf;              4ms 990μs 699ns;                   78μs 717ns;58.000000;0.000000
17;8706;200;9;5;            213ms  42μs 117ns;inf;              3ms 853μs 393ns;              4ms 948μs 285ns;44.000000;0.000000
27;e48a;200;362;7;            539ms 250μs 602ns;inf;              4ms  19μs 655ns;             43ms  62μs 482ns;68.000000;0.000000
10;5301;200;0;5;            164ms 965μs 809ns;inf;              2ms 822μs 863ns;                   55μs 972ns;29.000000;0.000000
3;2173;200;0;5;            137ms  41μs  97ns;inf;              1ms 881μs 272ns;                   36μs 560ns;10.000000;0.000000
16;7ef9;200;3;5;            191ms 350μs 764ns;inf;              3ms 659μs 800ns;              1ms 986μs 550ns;41.000000;0.000000
22;ad47;200;3;5;            241ms 865μs 435ns;inf;              4ms 702μs 520ns;              2ms 238μs 278ns;56.000000;0.000000
9;4cf5;200;0;5;            162ms 155μs 163ns;inf;              2ms 811μs  91ns;                   52μs 439ns;28.000000;0.000000
26;d9cc;200;1;5;            252ms 622μs 712ns;inf;              5ms 252μs 570ns;              1ms 106μs  92ns;66.000000;0.000000
15;775b;200;0;5;            203ms 229μs 133ns;inf;              4ms   5μs 966ns;                   97μs 952ns;39.000000;0.000000
8;46c0;200;2;5;            150ms 886μs  65ns;inf;              2ms 515μs 106ns;                  729μs 299ns;26.000000;0.000000
21;a363;200;0;5;            224ms 763μs  85ns;inf;              4ms 432μs 632ns;                   70μs 230ns;53.000000;0.000000
7;41ad;200;5;5;            150ms 117μs  60ns;inf;              2ms 382μs 178ns;              4ms  37μs 270ns;24.000000;0.000000
14;705d;200;0;5;            196ms 769μs  76ns;inf;              3ms 779μs 176ns;                  106μs 106ns;37.000000;0.000000
2;e45;200;1;5;            126ms 330μs 592ns;inf;              1ms 619μs 268ns;                  481μs 609ns;6.000000;0.000000
6;3c8e;200;5;5;            144ms 824μs 348ns;inf;              2ms 252μs  37ns;              2ms 620μs 952ns;21.000000;0.000000
20;9c2d;200;0;5;            224ms 978μs 919ns;inf;              4ms 547μs 424ns;                   56μs  19ns;52.000000;0.000000
25;cbca;200;0;5;            241ms 938μs 270ns;inf;              4ms 908μs 515ns;                   70μs 766ns;64.000000;0.000000
13;6970;200;0;5;            192ms 801μs 667ns;inf;              3ms 577μs 471ns;                   66μs 306ns;36.000000;0.000000
5;370d;200;4;5;            146ms 456μs 965ns;inf;              2ms 198μs 613ns;              2ms 667μs 707ns;18.000000;0.000000
19;94fb;200;0;5;            213ms 833μs 478ns;inf;              4ms 227μs  77ns;                   94μs 169ns;50.000000;0.000000
12;61b1;200;2;5;            176ms 611μs 698ns;inf;              3ms  23μs 184ns;                  960μs 835ns;33.000000;0.000000
24;c118;200;0;5;            243ms 721μs 623ns;inf;              4ms 877μs 972ns;                  109μs 957ns;60.000000;0.000000
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;200;0;5;            149ms 366μs 289ns;inf;              1ms 730μs 209ns;                   43μs 601ns;0.000000;0.000000
