ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
300162;47;0;87;92;7;24;26.000000;0.000000;0.000000;2234.000000;2234.000000;100.179372;0.000000;0.000000;-nan;         4s 578ms  39μs 474ns;            527ms  44μs 950ns
300165;41;0;86;83;7;22;24.000000;0.000000;0.000000;2234.000000;2234.000000;99.910555;0.000000;0.000000;-nan;         4s 503ms 688μs 189ns;            998ms 880μs 371ns
300172;31;0;79;64;6;24;25.000000;0.000000;0.000000;2252.000000;2252.000000;100.000000;0.000000;0.000000;-nan;         3s 927ms 687μs 858ns;            110ms 346μs 678ns
300182;39;0;89;82;7;22;24.000000;0.000000;0.000000;2234.000000;2234.000000;100.134469;0.000000;0.000000;-nan;         4s 709ms 141μs 801ns;            609ms 369μs 539ns
30019f;41;0;88;81;7;22;24.000000;0.000000;0.000000;2234.000000;2234.000000;99.955257;0.000000;0.000000;-nan;         4s 509ms 720μs 576ns;            592ms 191μs  76ns
3001ac;12;8;62;44;5;23;23.000000;23.000000;100.000000;2232.000000;2232.000000;100.000000;0.000000;0.000000;-nan;         2s 246ms 473μs  98ns;                          0ns
3001c0;32;0;72;58;6;21;22.000000;0.000000;0.000000;2234.000000;2234.000000;100.000000;0.000000;0.000000;-nan;         4s 441ms  25μs 370ns;            226ms 202μs 798ns
3001d5;35;0;69;64;6;23;24.000000;0.000000;0.000000;2251.000000;2251.000000;100.000000;0.000000;0.000000;-nan;         4s 529ms 366μs 981ns;            333ms   9μs 466ns
3001ef;25;0;83;60;6;22;23.000000;0.000000;0.000000;2233.000000;2233.000000;100.000000;0.000000;0.000000;-nan;         4s 553ms 438μs 154ns;            424ms 412μs 635ns
3001fe;22;0;56;46;5;24;24.000000;24.000000;100.000000;2253.000000;2253.000000;100.000000;0.000000;0.000000;-nan;         3s 880ms 925μs 585ns;                          0ns
60045a;32;0;71;65;6;23;24.000000;0.000000;0.000000;2234.000000;2234.000000;100.404494;0.000000;0.000000;-nan;         3s 658ms 409μs 448ns;            697ms 480μs 206ns
60045f;37;0;92;81;7;22;24.000000;0.000000;0.000000;2231.000000;2231.000000;100.224618;0.000000;0.000000;-nan;         4s  15ms 555μs  26ns;            526ms 348μs 560ns
600471;35;0;93;82;7;22;24.000000;0.000000;0.000000;2234.000000;2234.000000;100.269300;0.000000;0.000000;-nan;         4s  25ms 406μs 528ns;            994ms   3μs 735ns
600489;37;0;90;83;7;22;24.000000;0.000000;0.000000;2234.000000;2234.000000;100.314324;0.000000;0.000000;-nan;         3s 979ms  24μs 943ns;            754ms 743μs 556ns
6004a0;30;0;73;65;6;23;24.000000;0.000000;0.000000;2229.000000;2229.000000;100.000000;0.000000;0.000000;-nan;         3s 859ms 531μs 843ns;            271ms 722μs  28ns
6004b9;28;0;78;62;6;23;24.000000;0.000000;0.000000;2230.000000;2230.000000;100.000000;0.000000;0.000000;-nan;         3s 889ms 569μs  70ns;            132ms 598μs 171ns
6004c9;14;0;67;45;5;23;23.000000;23.000000;100.000000;2233.000000;2233.000000;100.000000;0.000000;0.000000;-nan;         2s 666ms 307μs 980ns;                          0ns
6004db;25;0;78;65;6;23;24.000000;0.000000;0.000000;2234.000000;2234.000000;100.000000;0.000000;0.000000;-nan;         3s 909ms 807μs 336ns;            123ms  86μs 308ns
6004e9;35;0;92;83;7;22;24.000000;0.000000;0.000000;2233.000000;2233.000000;100.089646;0.000000;0.000000;-nan;         4s 195ms 408μs  27ns;            735ms  90μs 768ns
