ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;9997;20973;10;     4m  9s 394ms 482μs  71ns;7462.650602;             73ms 648μs 119ns;        44s 330ms 597μs 336ns;0.000000;0.000000
28;309de0;9906;5630;10;     4m  1s 831ms 840μs  76ns;3867.883817;            135ms 918μs 409ns;        21s 152ms 572μs 834ns;787.000000;0.000000
72;6113f1;9917;5224;10;     4m 11s 450ms 955μs 678ns;3619.362550;            136ms 579μs 245ns;        18s 827ms 951μs  56ns;786.000000;0.000000
29;31baeb;9922;5718;10;     4m  4s 285ms 446μs 612ns;3845.901639;            133ms  30μs 145ns;        21s 868ms 701μs 554ns;786.000000;0.000000
2;2158d;9965;11736;10;     4m  7s 264ms 573μs 259ns;5271.497976;             91ms 599μs 174ns;        37s 283ms   1μs  76ns;752.000000;0.000000
73;6223cb;10000;5397;10;     4m  8s  63ms 362μs 347ns;3725.080645;            138ms 164μs 615ns;        20s 280ms 730μs  99ns;788.000000;0.000000
30;32ded3;9928;5272;10;     4m     628ms 525μs 270ns;3800.000000;            137ms 151μs 970ns;        19s 388ms 520μs 129ns;786.000000;0.000000
74;633d0e;9918;5435;10;     4m 14s 782ms 289μs 447ns;3626.692913;            137ms 299μs 252ns;        21s 773ms 357μs 501ns;788.000000;0.000000
3;38357;9899;6760;10;     3m 59s 188ms 936μs 592ns;4182.175732;            129ms 395μs 748ns;        24s 536ms 755μs 317ns;779.000000;0.000000
31;33f0ca;9921;5990;10;     4m  4s 104ms 699μs 915ns;3912.540984;            132ms 767μs 932ns;        21s 639ms 238μs 999ns;786.000000;0.000000
4;4ae32;9907;7082;10;     4m 13s 108ms 740μs 418ns;4029.011858;            131ms 348μs 164ns;        28s 930ms 533μs 269ns;785.000000;0.000000
32;3516e9;9974;5234;10;     4m  3s 958ms 352μs 570ns;3755.061728;            139ms 797μs 644ns;        19s  46ms 747μs 779ns;787.000000;0.000000
5;5e716;9981;6285;10;     4m  7s 667ms 834μs  55ns;3951.255061;            133ms 559μs   1ns;        19s 358ms 706μs 439ns;788.000000;0.000000
33;362b47;9880;5380;10;     4m     478ms 891μs 272ns;3815.000000;            139ms 626μs 661ns;        19s 322ms 722μs 965ns;789.000000;0.000000
77;668d39;9946;5798;10;     4m 22s 610ms 794μs 910ns;3605.496183;            127ms 527μs 321ns;        22s 945ms 424μs 386ns;786.000000;0.000000
6;720ed;9911;5658;10;     4m  5s 401ms 948μs 114ns;3812.816327;            135ms 223μs 272ns;        20s 307ms 171μs 259ns;788.000000;0.000000
34;37402a;9896;5734;10;     4m  6s 559ms 365μs 339ns;3812.195122;            135ms 646μs 222ns;        20s 433ms 992μs 796ns;790.000000;0.000000
78;67b07a;9944;5640;10;     4m 18s 459ms 244μs 721ns;3624.186047;            131ms 461μs 691ns;        21s 172ms 374μs 960ns;787.000000;0.000000
7;84f33;9997;3649;10;     4m  4s  45ms 426μs 126ns;3355.573770;            150ms 343μs 834ns;        10s 686ms 968μs  98ns;1023.000000;0.000000
35;385f3f;9947;5694;10;     4m  2s 217ms 527μs 564ns;3877.933884;            134ms 615μs 705ns;        21s 374ms 817μs 306ns;788.000000;0.000000
79;68cbf4;9903;4857;10;     4m  5s 765ms 590μs 101ns;3614.693878;            141ms 460μs 637ns;        16s 384ms 578μs 611ns;787.000000;0.000000
36;398049;9911;5341;10;     4m  2s 604ms 494μs  57ns;3781.487603;            139ms 858μs 441ns;        20s 174ms 245μs 942ns;788.000000;0.000000
8;9b61d;9984;3756;10;     6m 15s 198ms 800μs 928ns;2198.400000;            201ms  47μs 700ns;         9s   7ms 358μs 955ns;1214.000000;0.000000
80;69d62f;9989;5561;10;     4m 18s 100ms 444μs 159ns;3616.279070;            135ms 612μs 147ns;        21s 527ms 720μs 580ns;787.000000;0.000000
71;5ff750;9956;5469;10;     4m  9s  19ms 643μs 252ns;3716.867470;            135ms 273μs 932ns;        20s 115ms 200μs  78ns;786.000000;0.000000
27;2f7947;9959;5762;10;     4m     947ms 696μs 744ns;3930.250000;            134ms 134μs 445ns;        21s 488ms 303μs 105ns;787.000000;0.000000
70;5ee2d9;9992;5231;10;     4m  9s 783ms 886μs 118ns;3668.192771;            137ms 954μs 295ns;        18s 195ms  75μs 139ns;787.000000;0.000000
26;2e5cfb;9901;5544;10;     4m  2s 532ms 705μs 911ns;3829.338843;            137ms 480μs 375ns;        20s 954ms 790μs 420ns;787.000000;0.000000
69;5ddadc;10000;4865;10;     4m  7s 560ms 665μs 517ns;3610.931174;            143ms 290μs 872ns;        17s  45ms 396μs 333ns;787.000000;0.000000
25;2d49b0;9896;5120;10;     3m 57s 457ms 971μs 215ns;3801.518987;            139ms 759μs 681ns;        17s 649ms 191μs 157ns;787.000000;0.000000
68;5cb40e;9986;5885;10;     4m 16s 375ms 716μs  37ns;3719.765625;            137ms 985μs 866ns;        22s 511ms 180μs 953ns;787.000000;0.000000
24;2c2200;9962;6193;10;     4m 12s 722ms 736μs 429ns;3846.428571;            135ms 658μs 721ns;        31s 194ms 564μs 836ns;785.000000;0.000000
67;5b9b81;9987;5309;10;     4m 13s 928ms 845μs  69ns;3627.509881;            134ms 692μs  61ns;        20s 572ms 617μs  42ns;786.000000;0.000000
23;2b08db;9955;5206;10;     3m 58s 881ms 837μs 117ns;3822.100840;            137ms 362μs 761ns;        19s 525ms 969μs 955ns;787.000000;0.000000
66;5a8b90;9990;4963;10;     4m 11s 413ms 923μs 660ns;3574.422311;            137ms 120μs 637ns;        17s 975ms  88μs 373ns;788.000000;0.000000
22;29a697;9928;8072;10;     4m 16s 741ms 717μs 515ns;4218.750000;            126ms 957μs 593ns;        24s 338ms  14μs 297ns;789.000000;0.000000
65;59695c;9886;5730;10;     4m 23s 674ms 453μs 441ns;3562.585551;            127ms 901μs 497ns;        22s 937ms 522μs 164ns;787.000000;0.000000
21;289ae3;9991;4830;10;     4m     921ms 617μs 735ns;3705.250000;            139ms 171μs 107ns;        14s 338ms  11μs  80ns;787.000000;0.000000
64;5848e6;9916;5678;10;     4m 31s  80ms 803μs 658ns;3452.546125;            143ms  52μs 990ns;        22s 680ms 153μs 411ns;788.000000;0.000000
20;278cc1;9902;4864;10;     3m 56s 188ms 800μs 842ns;3754.067797;            142ms 288μs 731ns;        18s 194ms 291μs 849ns;788.000000;0.000000
63;573a52;9952;5051;10;     4m 15s 202ms 490μs 102ns;3530.117647;            133ms 395μs 843ns;        18s 283ms 531μs 177ns;788.000000;0.000000
19;26791f;9938;4972;10;     3m 57s 330ms 366μs 890ns;3774.683544;            140ms 556μs 728ns;        18s 698ms 959μs 616ns;788.000000;0.000000
62;561b99;9959;5603;10;     4m 12s 405ms 541μs 789ns;3705.238095;            136ms 361μs  49ns;        20s 507ms  80μs 374ns;788.000000;0.000000
18;2563b8;9926;5703;10;     3m 57s 400ms 561μs 383ns;3956.708861;            133ms 899μs 503ns;        18s 236ms 230μs 514ns;788.000000;0.000000
61;54f615;9918;5965;10;     4m 11s 663ms  56μs  17ns;3796.733068;            134ms 690μs 226ns;        23s  40ms 958μs 810ns;788.000000;0.000000
17;245619;9900;4998;10;     3m 53s 888ms 518μs 760ns;3836.394850;            139ms  56μs 123ns;        17s  38ms 448μs 885ns;788.000000;0.000000
60;53e99d;10000;4958;10;     4m  7s 982ms 915μs 675ns;3633.522267;            141ms 605μs 937ns;        16s 975ms 423μs 960ns;788.000000;0.000000
16;232e29;9920;6426;10;     3m 56s 292ms 594μs 385ns;4155.762712;            128ms 668μs 407ns;        20s 114ms 681μs 289ns;787.000000;0.000000
59;52d862;9938;5211;10;     4m 10s 591ms 861μs 201ns;3635.760000;            142ms 469μs 983ns;        18s 895ms 763μs 807ns;788.000000;0.000000
15;221014;9915;6038;10;     3m 53s 943ms  98μs 483ns;4108.068670;            132ms 357μs 307ns;        19s 508ms 982μs 369ns;787.000000;0.000000
58;51b8fa;9894;5609;10;     4m  9s 442ms 772μs 950ns;3735.662651;            141ms 182μs 575ns;        20s 664ms 649μs  28ns;788.000000;0.000000
14;20eb9a;9992;6661;10;     3m 51s 585ms 484μs 202ns;4325.454545;            122ms 542μs 907ns;        23s 465ms 972μs 415ns;779.000000;0.000000
57;509242;9906;5929;10;     4m  6s 681ms  32μs 619ns;3862.195122;            132ms 692μs 901ns;        21s 550ms 804μs 611ns;788.000000;0.000000
13;1fc6c8;9892;7804;10;     3m 42s 702ms 862μs 539ns;4782.702703;            106ms 798μs 337ns;        25s 302ms 910μs  90ns;763.000000;0.000000
56;4f80c3;9992;5055;10;     4m  5s 280ms 422μs 299ns;3684.979592;            141ms   6μs 350ns;        17s 658ms 882μs 726ns;789.000000;0.000000
55;4e5a20;9938;6052;10;     4m  6s 761ms 108μs  76ns;3900.000000;            131ms 245μs  56ns;        22s 441ms 375μs  83ns;787.000000;0.000000
12;1d49b7;9947;13169;10;    10m  1s  43ms 191μs 769ns;2307.753744;            199ms 726μs 963ns;        30s  70ms 220μs 302ns;1219.000000;0.000000
54;4d352c;9930;5852;10;     4m 12s  72ms 409μs 517ns;3757.619048;            127ms 465μs 618ns;        21s 639ms 218μs  94ns;788.000000;0.000000
53;4c2401;9968;4982;10;     4m  2s 402ms 647μs 610ns;3706.611570;            143ms   9μs 469ns;        18s 288ms  38μs 114ns;787.000000;0.000000
52;4b0d1b;9889;5433;10;     4m 12s 388ms  14μs  89ns;3648.095238;            132ms 808μs 301ns;        20s 712ms 738μs 410ns;787.000000;0.000000
51;49edfd;9923;5690;10;     4m  6s 918ms  93μs 319ns;3808.048780;            132ms 378μs 669ns;        20s 500ms 739μs 902ns;787.000000;0.000000
50;48d2db;9903;5622;10;     4m  4s  59ms  15μs 555ns;3817.622951;            137ms 255μs  88ns;        21s 341ms 408μs 535ns;787.000000;0.000000
49;47bbf2;9957;5192;10;     4m 14s 597ms 148μs 204ns;3578.503937;            137ms  90μs  81ns;        20s  63ms 770μs 200ns;788.000000;0.000000
48;469d06;9899;5677;10;     4m  6s  85ms 945μs 919ns;3799.024390;            136ms 261μs 621ns;        20s 715ms 274μs  64ns;788.000000;0.000000
