ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Total Reduction %: Length;Total Reduction %: Primary;Total Reduction %: Secondary;Runtime;Average Test Runtime
-;17;0;3;0;1;238;99.712644;100.000000;-nan;             12ms 786μs 863ns;              1ms 390μs 520ns
-;824;0;177;0;78;238;4786.206897;4800.000000;-nan;            613ms 769μs 451ns;             66ms 744μs 972ns
