ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
158425;31822;10692;0;0;24;2826;2991.000000;2826.000000;94.483450;3149.000000;3149.000000;100.000000;0.000000;0.000000;-nan;     4m 18s 386ms  70μs 969ns;         3s 337ms  98μs 928ns
149102;1626;48;7313;6937;15;2527;2567.000000;2527.000000;98.441761;2813.000000;2813.000000;102.514577;0.000000;0.000000;-nan;     5m 27s 355ms 219μs 224ns;            621ms 948μs 732ns
149117;1612;54;6511;5203;17;2126;3197.000000;2126.000000;66.499844;3149.000000;3149.000000;100.000000;0.000000;0.000000;-nan;     5m 20s  39ms 833μs 213ns;            963ms 438μs 592ns
14912c;1541;0;7910;5883;17;2525;3059.000000;2525.000000;82.543315;3095.000000;3095.000000;109.017260;0.000000;0.000000;-nan;     5m 27s 287ms 537μs 387ns;         1s  44ms 371μs 798ns
1490c5;1809;942;5893;6746;18;2271;2483.000000;2341.000000;94.281112;2848.000000;2848.000000;103.601310;0.000000;0.000000;-nan;     5m 23s 663ms  56μs 432ns;         1s 287ms 847μs 951ns
1490df;1490;0;6901;5243;17;2219;2723.000000;2219.000000;81.491003;2740.000000;2740.000000;100.073046;0.000000;0.000000;-nan;     5m 26s 445ms 157μs 217ns;         1s  20ms 241μs 513ns
1490f3;1548;0;7045;6513;18;2473;2749.000000;2473.000000;89.959985;2950.000000;2950.000000;107.546482;0.000000;0.000000;-nan;     5m 27s 331ms 425μs 185ns;         1s 207ms 262μs  97ns
149097;1754;0;6435;5015;18;1973;2135.000000;1973.000000;92.412178;2919.000000;2919.000000;106.727605;0.000000;0.000000;-nan;     5m 16s 162ms 610μs 975ns;            993ms  33μs  71ns
14909a;1836;149;8115;6236;20;2424;2599.000000;2424.000000;93.266641;2917.000000;2917.000000;105.957138;0.000000;0.000000;-nan;     5m 26s 838ms 266μs 582ns;         1s 778ms 431μs 790ns
1490a3;1512;46;11201;6149;24;2886;4513.000000;2991.000000;66.275205;3149.000000;3149.000000;110.958421;0.000000;0.000000;-nan;     5m 38s   7ms 830μs  98ns;         2s 941ms 479μs 753ns
1490ad;1551;60;4305;4332;14;1906;2215.000000;2081.000000;93.950339;2776.000000;2776.000000;101.055697;0.000000;0.000000;-nan;     4m 58s  67ms 544μs 700ns;            582ms 505μs 508ns
af141;1816;914;628;2110;22;862;8978.000000;0.000000;0.000000;891.000000;891.000000;100.112360;0.000000;0.000000;-nan;     3m 34s 379ms 176μs  35ns;            960ms 306μs 702ns
af149;953;1693;107;2065;19;946;9023.000000;0.000000;0.000000;894.000000;894.000000;100.789177;0.000000;0.000000;-nan;     1m 41s 540ms 812μs 776ns;            775ms 307μs 974ns
af157;1465;2163;287;3063;22;874;8958.000000;0.000000;0.000000;896.000000;896.000000;100.561167;0.000000;0.000000;-nan;     3m 29s 168ms 786μs 690ns;            937ms 969μs 282ns
af161;1770;811;682;1851;22;865;8933.000000;0.000000;0.000000;895.000000;895.000000;100.336323;0.000000;0.000000;-nan;     3m 15s 776ms 492μs  55ns;            968ms 360μs   5ns
af171;2177;1985;542;3430;24;891;9052.000000;0.000000;0.000000;895.000000;895.000000;100.223964;0.000000;0.000000;-nan;     3m 59s 370ms 705μs 824ns;         1s  86ms 194μs 557ns
af178;747;2108;236;2205;21;879;8932.000000;0.000000;0.000000;893.000000;893.000000;99.888143;0.000000;0.000000;-nan;     2m 22s 347ms 956μs 783ns;            865ms 964μs 432ns
