ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
27;8fd49;2000;103;11;        19s 570ms 127μs  55ns;6641.052632;                        -19137683115359ns;            476ms 770μs 996ns;2484.000000;0.000000
8;16029;2000;198;10;        11s 382ms 763μs 372ns;11989.090909;                        -8596065550917ns;            918ms 964μs 220ns;1009.000000;0.000000
21;75b4b;2000;116;10;         9s 803ms 760μs 158ns;14106.666667;                        -9507814465765ns;            635ms 866μs 427ns;1614.000000;0.000000
26;8d86c;2000;724;10;        43s 411ms 955μs 126ns;3800.930233;                        -23280705175897ns;         8s 652ms 171μs 223ns;2124.000000;0.000000
14;2cea5;2000;221;10;         9s  15ms 435μs 790ns;14806.666667;                        -6312522474960ns;         1s 168ms 568μs 704ns;1867.000000;0.000000
7;125d8;2000;163;10;        11s 307ms 948μs 897ns;11798.181818;                        -9298534809187ns;            931ms 820μs 678ns;1009.000000;0.000000
25;89e8d;2000;749;10;        38s 387ms 918μs  88ns;4340.526316;                        -31495758011798ns;         8s  51ms 786μs 799ns;1616.000000;0.000000
15;41df4;2000;121;10;        10s 272ms 754μs 196ns;12726.000000;                        -12070967862682ns;            767ms 379μs 430ns;1867.000000;0.000000
13;296c8;2000;268;10;        19s 838ms   5μs 335ns;7162.105263;                        -3762649602535ns;         1s 455ms 869μs 665ns;1181.000000;0.000000
20;71320;2000;158;10;        12s 233ms  55μs 187ns;10790.000000;                        -11017600816583ns;            888ms 669μs 849ns;1614.000000;0.000000
17;585e7;2000;117;10;         8s  20ms 824μs 543ns;15877.500000;                        -10078474946886ns;            648ms 470μs 136ns;1617.000000;0.000000
6;eb43;2000;157;10;        11s 235ms 198μs 793ns;11765.454545;                        -8759105448387ns;            783ms 372μs 720ns;1185.000000;0.000000
12;25f0b;2000;230;10;        12s 711ms 585μs 854ns;11150.000000;                        -9293416555409ns;         1s 298ms 151μs 740ns;1009.000000;0.000000
24;84a9c;2000;266;10;        14s 563ms 576μs 556ns;9711.428571;                        -14798411923611ns;         1s 391ms 726μs 982ns;1614.000000;0.000000
19;6a375;2000;125;10;         8s 121ms 359μs 362ns;15937.500000;                        -9467152868791ns;            633ms 643μs 456ns;1614.000000;0.000000
5;9fd8;2000;180;10;        10s 100ms 436μs 925ns;13080.000000;                        -9505224161165ns;            861ms 837μs 171ns;1009.000000;0.000000
23;819a7;2000;188;10;        13s 121ms 635μs 690ns;10098.461538;                        -8638020031822ns;         1s   4ms 643μs 603ns;1614.000000;0.000000
11;21770;2000;196;10;        10s 573ms 661μs 242ns;13176.000000;                        -10269786647578ns;            937ms 514μs 367ns;1009.000000;0.000000
18;66f8e;2000;122;10;        12s 182ms 924μs 133ns;10610.000000;                        -10054937472017ns;            689ms 958μs  65ns;1614.000000;0.000000
4;6b59;2000;161;10;        10s 954ms 838μs 991ns;12966.000000;                        -10716700274602ns;            928ms 147μs 523ns;808.000000;0.000000
10;1d317;2000;143;10;        10s 205ms 857μs 317ns;12858.000000;                        -8817047871458ns;            741ms 570μs  57ns;1009.000000;0.000000
3;3c06;2000;118;10;        11s 622ms 770μs 414ns;11552.727273;                        -8632140555249ns;            733ms 127μs 798ns;948.000000;0.000000
22;7b24c;2000;138;10;         9s 275ms 926μs 828ns;14253.333333;                        -9695308425435ns;            708ms 951μs 105ns;1614.000000;0.000000
9;19c40;2000;192;10;        12s 148ms 962μs 997ns;10960.000000;                        -13068720395254ns;            994ms 446μs 481ns;1009.000000;0.000000
2;1ae9;2000;143;10;        13s 488ms 317μs  66ns;9890.769231;                        -8531254132540ns;            758ms 526μs 320ns;716.000000;0.000000
16;494b1;2000;115;10;         8s 241ms 363μs 717ns;15862.500000;                        -8646715538548ns;            483ms 627μs 199ns;1867.000000;0.000000
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;2000;151;10;         7s 605ms 527μs 571ns;18437.142857;                        -9065981653318ns;            696ms 396μs 464ns;0.000000;0.000000
