ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
4;2f917;991;8;10;            710ms 267μs 273ns;inf;              1ms 652μs 108ns;              1ms 391μs   3ns;17.000000;0.000000
17;5f564;1000;0;9;         1s 160ms 569μs 811ns;60000.000000;              5ms 199μs 541ns;                  121μs 365ns;69.000000;0.000000
19;6b137;1000;12;10;         1s 335ms 767μs 871ns;60720.000000;              6ms  52μs 972ns;             10ms 465μs 808ns;79.000000;0.000000
23;76f52;1000;11;10;         1s 556ms 344μs 480ns;60660.000000;              7ms  72μs 604ns;              5ms 262μs 125ns;93.000000;0.000000
7;3ae5a;1000;3;9;            599ms 248μs 857ns;inf;              2ms 218μs 508ns;                  779μs 954ns;28.000000;0.000000
28;8d147;1000;6;9;         1s 801ms   9μs 588ns;60360.000000;              8ms 402μs 979ns;              5ms 586μs 610ns;112.000000;0.000000
14;5102a;1000;5;9;         1s  26ms 221μs 436ns;60300.000000;              4ms 389μs 582ns;              1ms 570μs 512ns;57.000000;0.000000
26;80f51;1000;2;10;         1s 666ms  57μs 385ns;60120.000000;              7ms 776μs 420ns;                  974μs 476ns;104.000000;0.000000
10;44174;978;20;10;            829ms 701μs 750ns;inf;              2ms 958μs 832ns;              8ms 260μs 656ns;40.000000;0.000000
6;37d8b;1000;7;10;            588ms 928μs 124ns;inf;              2ms  45μs 798ns;              1ms 700μs 448ns;24.000000;0.000000
30;97c73;1000;2;9;         1s 919ms 201μs 402ns;60120.000000;              8ms 997μs 982ns;              1ms 899μs 241ns;120.000000;0.000000
22;73632;1000;7;10;         1s 487ms 969μs 680ns;60420.000000;              6ms 815μs  53ns;              4ms 523μs  49ns;88.000000;0.000000
16;5a4d6;1000;2;9;         1s 120ms 205μs 663ns;60120.000000;              4ms 948μs 385ns;                  714μs  39ns;64.000000;0.000000
13;4dba2;1000;2;9;            933ms 219μs 763ns;inf;              4ms  27μs 565ns;              1ms  66μs 501ns;54.000000;0.000000
25;7d754;1000;8;9;         1s 630ms 133μs 984ns;60480.000000;              7ms 495μs 198ns;              6ms 726μs 893ns;100.000000;0.000000
18;651b6;976;20;10;         1s 224ms 366μs 916ns;59760.000000;              5ms 499μs  45ns;              7ms 886μs 140ns;72.000000;0.000000
5;34f0b;1000;9;10;            555ms  16μs 632ns;inf;              1ms 869μs 431ns;              1ms 670μs 870ns;21.000000;0.000000
21;701bb;1000;12;8;         1s 445ms  16μs 611ns;60720.000000;              6ms 587μs 563ns;              8ms 189μs 832ns;87.000000;0.000000
9;40040;1000;2;10;            728ms 450μs 560ns;inf;              2ms 779μs 838ns;                  476μs 784ns;38.000000;0.000000
12;4bc08;1000;11;10;            891ms 983μs 115ns;inf;              3ms 816μs 750ns;              4ms 846μs 917ns;50.000000;0.000000
3;26f33;982;10;10;         1s  46ms 247μs 734ns;59520.000000;              1ms 561μs 706ns;              1ms 522μs 715ns;12.000000;0.000000
2;1a5a1;955;0;10;         1s 250ms 421μs 114ns;57300.000000;              1ms 632μs 592ns;                   49μs 517ns;8.000000;0.000000
27;86537;1000;9;9;         1s 760ms 465μs  95ns;60540.000000;              8ms  42μs 244ns;              5ms 131μs 373ns;108.000000;0.000000
24;7a431;1000;11;9;         1s 585ms 798μs 836ns;60660.000000;              7ms 295μs 946ns;              7ms 885μs 931ns;96.000000;0.000000
29;9215d;1000;2;9;         1s 866ms 907μs 870ns;60120.000000;              8ms 730μs 605ns;              1ms 687μs 532ns;116.000000;0.000000
15;55d8c;1000;0;8;         1s  63ms 993μs 742ns;60000.000000;              4ms 704μs 742ns;                   86μs 539ns;61.000000;0.000000
11;49c69;1000;25;9;            880ms 509μs 606ns;inf;              3ms 700μs 114ns;             13ms 134μs 684ns;47.000000;0.000000
31;9d9a7;1000;1023;14;         3s 124ms 308μs 670ns;40460.000000;              7ms 169μs 789ns;            160ms 247μs 148ns;123.000000;0.000000
20;6d6db;1000;7;9;         1s 358ms 546μs 823ns;60420.000000;              6ms 150μs 642ns;              5ms 565μs 377ns;82.000000;0.000000
8;3cee5;1000;6;9;            633ms  93μs 681ns;inf;              2ms 347μs 845ns;              1ms 716μs 301ns;32.000000;0.000000
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;480;16;10;         1s 994ms 250μs 258ns;29760.000000;              2ms 533μs 310ns;              2ms 700μs 427ns;0.000000;0.000000
