ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
57f7;0;64;0;0;0000000000000010;    13m 10s 727ms 946μs 579ns;0;734;         1s 520ms 818μs 119ns;796.000000;0.922111;170.000000;4.317647;0;1;Failing;0;7472
a71df;0;64;0;0;0000000000000010;   441m 32s 484ms 843μs 798ns;0;622;         3s 435ms 350μs 114ns;584.000000;1.065068;170.000000;3.658824;0;1;Failing;0;228136
30f67;0;64;0;0;0000000000000010;   125m 31s 308ms 907μs 184ns;0;666;         1s 489ms 236μs 185ns;580.000000;1.148276;170.000000;3.917647;0;1;Failing;0;66816
d4242;0;64;0;0;0000000000000010;   568m 47s 104ms 600μs 721ns;0;664;         1s 687ms 567μs 256ns;577.000000;1.150780;170.000000;3.905882;0;1;Failing;0;289609
7c8a9;0;64;0;0;0000000000000010;   322m 30s 203ms 619μs 628ns;17000;1300;         1s 988ms  96μs 841ns;1177.000000;1.104503;160.000000;8.125000;0;1;Failing;0;170006
779a1;0;64;0;0;0000000000000010;   309m 45s 690ms 916μs 460ns;17000;6200;         7s 233ms 937μs  34ns;1116.000000;5.555556;160.000000;38.750000;0;1;Failing;0;163262
f3f2e;0;64;0;0;0000000000000010;   653m  6s 433ms  26μs 832ns;17000;6208;         6s 921ms 585μs 302ns;1115.000000;5.567713;160.000000;38.800000;0;1;Failing;0;333037
61e90;0;64;0;0;0000000000000010;   252m 54s 845ms 454μs 465ns;17000;6210;         7s 480ms 140μs 763ns;1115.000000;5.569507;160.000000;38.812500;0;1;Failing;0;133646
365d1;0;64;0;0;0000000000000010;   139m 22s 355ms  68μs 776ns;0;6205;         7s 935ms 837μs 603ns;1106.000000;5.610307;160.000000;38.781250;0;1;Failing;0;74190
c60e2;0;64;0;0;0000000000000010;   532m 14s 210ms 892μs 578ns;0;776;         1s 679ms 667μs 137ns;800.000000;0.970000;160.000000;4.850000;0;1;Failing;0;270377
37d;0;64;0;0;0000000000000010;         7s  95ms 543μs 519ns;0;767;         1s 636ms 438μs 253ns;704.000000;1.089489;160.000000;4.793750;0;1;Failing;0;268
d82f2;0;64;0;0;0000000000000010;   579m 17s  30ms 431μs 542ns;0;661;         1s 687ms 688μs 311ns;618.000000;1.069579;160.000000;4.131250;0;1;Failing;0;295129
89586;0;64;0;0;0000000000000010;   355m 31s 140ms 749μs 244ns;0;560;         1s 342ms 935μs 207ns;602.000000;0.930233;160.000000;3.500000;0;1;Failing;0;187488
58bc1;0;64;0;0;0000000000000010;   228m 39s  80ms 185μs  16ns;0;662;         1s 563ms  54μs 117ns;588.000000;1.125850;160.000000;4.137500;0;1;Failing;0;121118
fe9bf;0;64;0;0;0000000000000010;   680m 55s  81ms 399μs 965ns;0;681;         1s 900ms 735μs  41ns;587.000000;1.160136;160.000000;4.256250;0;1;Failing;0;347592
504c0;0;64;0;0;0000000000000010;   206m 49s 186ms 152μs 621ns;17000;6205;         8s 883ms 309μs 897ns;1113.000000;5.575022;150.000000;41.366667;0;1;Failing;0;109598
86e6;0;64;0;0;0000000000000010;    20m 37s 263ms 569μs 471ns;0;6210;         8s 507ms 166μs 495ns;1112.000000;5.584532;150.000000;41.400000;0;1;Failing;0;11477
b0518;0;64;0;0;0000000000000010;   473m  6s 749ms 549μs 756ns;0;6204;         7s 836ms 397μs 534ns;1108.000000;5.599278;150.000000;41.360000;0;1;Failing;0;240699
e832d;0;64;0;0;0000000000000010;   622m  4s 919ms 977μs  62ns;0;6201;         8s  47ms 486μs 840ns;1105.000000;5.611765;150.000000;41.340000;0;1;Failing;0;316994
dd2a;0;64;0;0;0000000000000010;    34m 41s 110ms 120μs 350ns;0;6202;         8s 408ms 823μs 825ns;1101.000000;5.633061;150.000000;41.346667;0;1;Failing;0;18839
cf8e1;0;64;0;0;0000000000000010;   557m 13s 766ms 608μs 441ns;0;1029;         2s  72ms 753μs 637ns;1082.000000;0.951017;150.000000;6.860000;0;1;Failing;0;283348
e4844;0;64;0;0;0000000000000010;   612m 18s 789ms 726μs 934ns;0;769;         1s 706ms 123μs  40ns;973.000000;0.790339;150.000000;5.126667;0;1;Failing;0;311967
1f87c;0;64;0;0;0000000000000010;    80m 15s 264ms 859μs 702ns;0;772;         2s  51ms 832μs 793ns;811.000000;0.951911;150.000000;5.146667;0;1;Failing;0;43015
6f271;0;64;0;0;0000000000000010;   288m  9s  43ms 665μs 427ns;0;782;         1s 871ms 326μs 418ns;794.000000;0.984887;150.000000;5.213333;0;1;Failing;0;151726
e0cfe;0;64;0;0;0000000000000010;   602m 29s 307ms 131μs 557ns;0;732;         2s 278ms 573μs  33ns;751.000000;0.974700;150.000000;4.880000;0;1;Failing;0;306909
bba50;0;64;0;0;0000000000000010;   505m  1s 453ms 543μs 386ns;0;750;         1s 954ms 451μs 597ns;751.000000;0.998668;150.000000;5.000000;0;1;Failing;0;256163
fe223;0;64;0;0;0000000000000010;   679m 42s 706ms 155μs 954ns;0;791;         1s 971ms 828μs 971ns;751.000000;1.053262;150.000000;5.273333;0;1;Failing;0;346943
4bea4;0;64;0;0;0000000000000010;   195m 28s 984ms  92μs 305ns;0;686;         1s 477ms 758μs 854ns;703.000000;0.975818;150.000000;4.573333;0;1;Failing;0;103615
25696;0;64;0;0;0000000000000010;    95m 33s 904ms  28μs 361ns;0;700;         2s  77ms 830μs 950ns;655.000000;1.068702;150.000000;4.666667;0;1;Failing;0;51045
b3155;0;64;0;0;0000000000000010;   481m 25s 146ms 200μs 866ns;0;676;         3s  18ms 234μs 709ns;653.000000;1.035222;150.000000;4.506667;0;1;Failing;0;244474
97c02;0;64;0;0;0000000000000010;   395m 18s 513ms 568μs 660ns;0;626;         1s 780ms 647μs 412ns;589.000000;1.062818;150.000000;4.173333;0;1;Failing;0;207156
d87ed;0;64;0;0;0000000000000010;   580m  7s 546ms 192μs 416ns;17000;6206;         8s 183ms   1μs 571ns;1114.000000;5.570916;140.000000;44.328571;0;1;Failing;0;295554
10ab4b;0;64;0;0;0000000000000010;   712m 22s 890ms 678μs  77ns;17000;6208;         8s 380ms 394μs 264ns;1114.000000;5.572711;140.000000;44.342857;0;1;Failing;0;364108
c2032;0;64;0;0;0000000000000010;   521m 37s 403ms 876μs 998ns;17000;6201;         7s 704ms 565μs 458ns;1113.000000;5.571429;140.000000;44.292857;0;1;Failing;0;264857
9dd28;0;64;0;0;0000000000000010;   412m 46s  74ms 170μs 819ns;0;6206;         7s 332ms 752μs 111ns;1111.000000;5.585959;140.000000;44.328571;0;1;Failing;0;215446
