ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;10000;10662;10;     3m 37s 853ms 753μs  12ns;5712.995392;             44ms 367μs 163ns;        28s 930ms 792μs 552ns;0.000000;0.000000
12;181a9a;10000;7511;10;     8m     707ms 288μs 832ns;2188.875000;            254ms  20μs 281ns;        49s 998ms 661μs 103ns;1213.000000;0.000000
2;14ebd;9829;14306;10;     4m 39s 541ms 851μs 916ns;5190.322581;             60ms 826μs 255ns;        35s  43ms 758μs 148ns;178.000000;0.000000
13;1980b3;10000;11171;10;     9m 29s 788ms 539μs 946ns;2232.442882;            248ms 150μs 673ns;     1m 21s 747ms 765μs 738ns;1213.000000;0.000000
3;3113d;9584;30848;10;    11m 29s 395ms 625μs 640ns;3520.928882;            125ms 391μs 562ns;     6m 23s  85ms 136μs 289ns;1193.000000;0.000000
14;1b2d96;10000;13240;10;     8m 46s 231ms 917μs  32ns;2650.950570;            208ms 537μs 176ns;     1m 22s 404ms 202μs 825ns;1211.000000;0.000000
6;f4ad1;10000;10333;10;     8m 47s 784ms 934μs 678ns;2314.952562;            238ms 175μs 989ns;     1m  9s 423ms 427μs  43ns;1213.000000;0.000000
11;169a85;10000;9955;10;     8m 48s 546ms 167μs  78ns;2267.613636;            244ms 853μs 107ns;     1m 11s 503ms 297μs 840ns;1213.000000;0.000000
5;9e60a;9957;24039;10;    18m 24s 251ms 339μs 999ns;1847.608696;            279ms 607μs 905ns;     3m  5s 103ms 384μs  87ns;1199.000000;0.000000
10;153574;10000;7750;10;     8m 19s 677ms 346μs 780ns;2134.268537;            263ms 425μs 694ns;        48s 239ms 254μs 899ns;1213.000000;0.000000
17;203663;10000;5974;10;     8m  7s 611ms 785μs 735ns;1968.049281;            284ms 540μs 745ns;        41s 729ms 156μs 447ns;1211.000000;0.000000
9;13d144;10000;7431;10;     9m  3s 597ms  71μs 578ns;1926.077348;            289ms 342μs 931ns;        53s 959ms 209μs  18ns;1213.000000;0.000000
4;77c9c;9687;6142;10;    14m 51s 760ms 787μs 486ns;1065.925926;            457ms 213μs 812ns;     1m  6s 875ms 461μs 664ns;1193.000000;0.000000
16;1e90fa;10000;10428;10;     8m 55s 814ms 589μs 579ns;2290.990654;            243ms 169μs 572ns;     1m  3s 955ms 209μs 543ns;1210.000000;0.000000
8;125b8c;10000;8978;10;     8m  8s 980ms 837μs 342ns;2333.360656;            240ms 896μs  76ns;        54s 713ms 870μs 945ns;1213.000000;0.000000
15;1cfca3;10000;9914;10;     8m 19s 657ms  38μs 548ns;2394.468938;            233ms  28μs 697ns;     1m  8s 317ms 165μs 726ns;1209.000000;0.000000
7;10e6e7;10000;9254;10;     8m 30s  70ms 458μs 160ns;2265.176471;            245ms 592μs 667ns;     1m  6s 517ms  15μs 125ns;1213.000000;0.000000
