ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;5000;43907;5;    40m  8s 799ms 856μs  22ns;1218.612957;         1s 760ms 704μs 716ns;    14m 26s 286ms 180μs 752ns;0.000000;0.000000
2;23d8d;5000;9660;5;    18m 20s 493ms 752μs 873ns;799.636364;         1s 958ms 112μs   8ns;     7m 20s 845ms 786μs 214ns;1513.000000;20.000000
7;b8635;5000;9751;5;    44m 18s 759ms  32μs 770ns;332.979684;         6s 199ms 694μs 538ns;    19m  7s 195ms 501μs 173ns;5562.000000;1660.000000
6;a2f72;5000;24247;5;    75m 17s 917ms 111μs 880ns;388.492362;         6s  79ms   7μs 365ns;    52m     792ms 224μs 354ns;4636.000000;1630.000000
5;6f0ba;5000;65886;5;   160m 17s 578ms 668μs  60ns;442.254341;         4s 980ms 263μs 781ns;    60m  2s  25ms 532μs 277ns;3810.000000;1585.000000
4;36c27;5000;71847;5;   138m  1s 512ms 604μs   4ns;556.795073;         4s 217ms  94μs 827ns;    83m 31s 932ms 525μs 563ns;2869.000000;60.000000
3;2e95f;5000;6158;5;    11m 26s   6ms 713μs 324ns;975.918367;         2s 275ms  66μs 656ns;     5m 44s 402ms 504μs  47ns;1969.000000;20.000000
12;e88b4;4305;1708;5;                          0ns;inf;         9s 720ms 350μs 814ns;    10m 25s 864ms 981μs 316ns;6381.000000;1670.000000
11;e2500;5000;3506;5;    49m 27s 930ms 133μs 381ns;172.012133;         9s 365ms 999μs 434ns;    15m 42s 934ms 213μs 331ns;6381.000000;1670.000000
10;dda3f;4272;2105;5;    32m 54s 204ms 312μs 701ns;193.829787;         9s 610ms 150μs 607ns;     9m 45s 425ms 665μs 843ns;6381.000000;1670.000000
9;ca4e2;5000;21397;5;    80m 13s 713ms 542μs 506ns;329.071265;         6s 942ms 708μs 577ns;    59m 42s 657ms 482μs 555ns;6374.000000;1910.000000
8;c3318;5000;4708;5;    38m 34s 867ms 495μs 933ns;251.719965;         6s 541ms 279μs 262ns;     6m 48s 319ms 342μs 938ns;6232.000000;1690.000000
