ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
bd0c5;23;0;0;0;12;2;4928.000000;0.000000;0.000000;3691.000000;3691.000000;99.783725;1680.000000;1680.000000;77.777778;        35s 181ms 449μs 442ns;        21s 560ms 610μs 159ns
bd0cf;32;0;0;0;19;2;4638.000000;0.000000;0.000000;3691.000000;3691.000000;99.756757;1680.000000;1680.000000;82.352941;        51s 963ms 969μs 643ns;        35s 135ms 922μs 218ns
bd0dc;31;0;0;0;16;2;4462.000000;0.000000;0.000000;3691.000000;3691.000000;99.729803;1680.000000;1680.000000;77.777778;        49s 643ms 981μs 884ns;        28s 490ms 900μs   2ns
bd0e6;26;0;0;0;14;2;4807.000000;4022.000000;83.669648;3691.000000;3691.000000;99.810708;1680.000000;1680.000000;75.675676;        44s  64ms 241μs 921ns;        28s  44ms 228μs 760ns
ba910;43;0;0;0;25;2;5612.000000;0.000000;0.000000;3691.000000;3691.000000;99.514694;1680.000000;1680.000000;54.901961;     1m  6s 371ms 736μs 222ns;        41s 943ms 108μs 488ns
ba911;21;0;0;0;11;2;4754.000000;0.000000;0.000000;3691.000000;3691.000000;99.649028;1680.000000;1680.000000;70.000000;        34s 700ms 760μs 201ns;        20s 626ms 390μs  91ns
ba915;20;0;0;0;12;2;4612.000000;0.000000;0.000000;3691.000000;3691.000000;99.675938;1680.000000;1680.000000;75.675676;        39s 226ms 387μs 104ns;        21s 223ms 157μs 724ns
ba919;6;0;0;0;4;2;4540.000000;3530.000000;77.753304;3691.000000;3691.000000;99.702863;1740.000000;1740.000000;76.315789;        11s 382ms 216μs 763ns;         4s 442ms 445μs 462ns
ba91d;29;0;0;0;16;2;4162.000000;3528.000000;84.766939;3691.000000;3691.000000;99.729803;1680.000000;1680.000000;77.777778;        46s 462ms 582μs 319ns;        26s  59ms 985μs 298ns
b6c4a;29;0;0;0;17;2;4256.000000;0.000000;0.000000;3691.000000;3691.000000;99.837706;1680.000000;1680.000000;75.675676;        50s 218ms 723μs 435ns;        32s 186ms 825μs 506ns
b6c4b;22;0;0;0;15;2;3823.000000;0.000000;0.000000;3691.000000;3691.000000;99.918787;1680.000000;1680.000000;87.500000;        38s 578ms   2μs 411ns;        27s 886ms  47μs 209ns
b6c52;49;0;0;0;27;2;4139.000000;0.000000;0.000000;3691.000000;3691.000000;99.756757;1680.000000;1680.000000;84.848485;     1m  9s 302ms 950μs 716ns;        39s 534ms 709μs  71ns
b6c56;55;0;0;0;27;2;3606.000000;0.000000;0.000000;3691.000000;3691.000000;99.945843;1680.000000;1680.000000;93.333333;     1m 28s 661ms 302μs  42ns;        44s 775ms 363μs  16ns
b6c5a;29;0;0;0;17;2;3752.000000;3130.000000;83.422175;3691.000000;3691.000000;99.891746;1680.000000;1680.000000;90.322581;        51s 424ms 266μs  96ns;        29s 998ms 736μs 191ns
b38e7;27;0;0;0;16;2;5926.000000;0.000000;0.000000;3691.000000;3691.000000;99.541532;1680.000000;1680.000000;53.846154;        48s 475ms 779μs 442ns;        26s 560ms 596μs  77ns
b38e8;21;0;0;0;12;2;4682.000000;0.000000;0.000000;3691.000000;3691.000000;99.675938;1680.000000;1680.000000;80.000000;        35s 931ms 549μs 640ns;        21s 208ms 571μs 478ns
b38ec;31;0;0;0;19;2;5718.000000;0.000000;0.000000;3691.000000;3691.000000;99.702863;1680.000000;1680.000000;50.909091;        55s 969ms 662μs 913ns;        33s 987ms 348μs 565ns
b38f6;24;0;0;0;17;2;5244.000000;0.000000;0.000000;3691.000000;3691.000000;99.622132;1680.000000;1680.000000;63.636364;        38s 866ms 243μs  48ns;        32s 133ms 977μs 778ns
b38fa;21;0;0;0;13;2;4659.000000;3934.000000;84.438721;3691.000000;3691.000000;99.649028;1680.000000;1680.000000;68.292683;        35s 500ms 911μs 314ns;        24s 768ms 283μs 696ns
afc93;25;0;0;0;16;2;3790.000000;0.000000;0.000000;3691.000000;3691.000000;99.864719;1680.000000;1680.000000;96.551724;        44s 247ms 804μs 277ns;        27s 449ms 835μs 857ns
afc94;15;0;0;0;10;2;4422.000000;0.000000;0.000000;3691.000000;3691.000000;99.675938;1740.000000;1740.000000;74.358974;        30s  18ms 238μs 402ns;        14s 623ms 118μs 440ns
afc9b;25;0;0;0;13;2;3812.000000;3349.000000;87.854145;3691.000000;3691.000000;99.891746;1680.000000;1680.000000;90.322581;        45s 934ms 929μs 675ns;        27s 802ms 763μs 599ns
afca2;40;0;0;0;21;2;4374.000000;0.000000;0.000000;3691.000000;3691.000000;99.810708;1680.000000;1680.000000;75.675676;        58s 590ms 323μs 627ns;        36s  25ms 385μs 206ns
afca6;41;0;0;0;23;2;4114.000000;0.000000;0.000000;3691.000000;3691.000000;99.837706;1680.000000;1680.000000;77.777778;     1m  9s 291ms 857μs 341ns;        38s 594ms 778μs 353ns
ad4df;34;0;0;0;17;2;5890.000000;0.000000;0.000000;3691.000000;3691.000000;99.595251;1680.000000;1680.000000;54.901961;        48s 290ms 621μs 147ns;        30s 605ms 179μs 898ns
ad4e0;5;0;0;0;5;2;4888.000000;0.000000;0.000000;3691.000000;3691.000000;99.702863;1740.000000;1740.000000;70.731707;        10s 863ms 730μs 718ns;         7s 193ms 470μs 553ns
ad4e4;23;0;0;0;14;2;5409.000000;0.000000;0.000000;3691.000000;3691.000000;99.675938;1740.000000;1740.000000;63.043478;        41s 471ms  89μs 496ns;        20s 411ms 161μs 985ns
ad4eb;50;0;0;0;26;2;5650.000000;0.000000;0.000000;3691.000000;3691.000000;99.380722;1680.000000;1680.000000;57.142857;     1m 11s 263ms 543μs 111ns;        35s 106ms 493μs 929ns
ad4f2;5;0;0;0;4;2;4511.000000;3452.000000;76.524052;3691.000000;3691.000000;99.729803;1680.000000;1680.000000;72.103004;        11s 623ms 826μs 829ns;         3s 530ms 439μs 696ns
a9949;5;0;0;0;4;2;4114.000000;0.000000;0.000000;3690.000000;3690.000000;99.783667;1780.000000;1780.000000;79.111111;        10s 464ms 184μs 188ns;         6s 947ms 824μs  74ns
a9933;40;0;0;0;24;2;3789.000000;0.000000;0.000000;3691.000000;3691.000000;99.837706;1680.000000;1680.000000;93.333333;     1m  5s 516ms 797μs 756ns;        38s 947ms 733μs 267ns
a9934;12;0;0;0;6;2;4099.000000;0.000000;0.000000;3691.000000;3691.000000;99.891746;1800.000000;1800.000000;85.714286;        17s 633ms 883μs 963ns;         7s 173ms 238μs 427ns
a9938;18;0;0;0;15;2;4144.000000;0.000000;0.000000;3691.000000;3691.000000;99.783725;1680.000000;1680.000000;75.675676;        30s 124ms  44μs 733ns;        23s 484ms 105μs 562ns
a993c;15;0;0;0;9;2;3449.000000;3099.000000;89.852131;3691.000000;3691.000000;99.918787;1680.000000;1680.000000;100.000000;        25s 797ms 248μs 386ns;        15s 936ms  64μs 463ns
a6558;41;0;0;0;24;2;6540.000000;0.000000;0.000000;3691.000000;3691.000000;99.434267;1680.000000;1680.000000;45.901639;     1m     670ms 392μs 554ns;        37s 986ms 416μs 987ns
a6559;28;0;0;0;19;2;4714.000000;0.000000;0.000000;3690.000000;3690.000000;99.595142;1720.000000;1720.000000;62.773723;        51s 257ms 148μs 318ns;        30s 589ms 876μs 637ns
a6560;15;0;0;0;9;2;5080.000000;0.000000;0.000000;3690.000000;3690.000000;99.541408;1780.000000;1780.000000;67.938931;        24s 957ms 831μs 945ns;        14s  30ms 662μs 201ns
a6567;32;0;0;0;18;2;5164.000000;0.000000;0.000000;3690.000000;3690.000000;99.622030;1720.000000;1720.000000;61.428571;        53s 512ms 748μs  80ns;        26s 522ms  99μs 362ns
a6571;46;0;0;0;26;2;5927.000000;0.000000;0.000000;3690.000000;3690.000000;99.514563;1720.000000;1720.000000;56.578947;     1m  2s 522ms 899μs  18ns;        37s 417ms 693μs 749ns
a28e3;7;0;0;0;5;2;4234.000000;3367.000000;79.522910;3690.000000;3690.000000;99.837662;1720.000000;1720.000000;76.106195;        13s 999ms 939μs 946ns;         6s 802ms 254μs 614ns
a28e4;46;0;0;0;26;2;3886.000000;0.000000;0.000000;3690.000000;3690.000000;99.918765;1720.000000;1720.000000;82.692308;     1m  9s 607ms 210μs 412ns;        37s 537ms 508μs 568ns
a28eb;45;0;0;0;25;2;4088.000000;0.000000;0.000000;3690.000000;3690.000000;99.891716;1720.000000;1720.000000;80.751174;     1m  6s 245ms 775μs 227ns;        37s 979ms 717μs 161ns
a28ef;32;0;0;0;16;2;5002.000000;0.000000;0.000000;3690.000000;3690.000000;99.783667;1720.000000;1720.000000;65.648855;        49s 858ms 986μs 429ns;        26s  92ms 358μs  70ns
a28f6;27;0;0;0;17;2;3528.000000;3047.000000;86.366213;3691.000000;3691.000000;99.891746;1680.000000;1680.000000;96.551724;        46s 334ms 306μs 694ns;        32s 820ms 632μs 141ns
9f550;30;0;0;0;17;2;5960.000000;0.000000;0.000000;3691.000000;3691.000000;99.568384;1680.000000;1680.000000;50.909091;        51s 323ms 682μs  56ns;        33s 612ms 498μs 218ns
9f551;49;0;0;0;25;2;5424.000000;0.000000;0.000000;3691.000000;3691.000000;99.595251;1680.000000;1680.000000;53.846154;     1m 13s 414ms 418μs 654ns;        43s 575ms 663μs   5ns
9f558;17;0;0;0;11;2;7580.000000;0.000000;0.000000;3691.000000;3691.000000;99.434267;1740.000000;1740.000000;38.666667;        29s 441ms 929μs 983ns;        14s  54ms 848μs 637ns
9f55c;38;0;0;0;22;2;5204.000000;4365.000000;83.877786;3691.000000;3691.000000;99.461062;1680.000000;1680.000000;56.000000;     1m  4s 196ms 665μs 547ns;        36s 496ms  82μs 727ns
