ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Total Reduction %: Length;Total Reduction %: Primary;Total Reduction %: Secondary;Runtime;Average Test Runtime
-;41158;0;0;0;211;245;2.222849;-nan;-nan;     3m 23s 568ms 645μs 853ns;     1m 48s  66ms 542μs 156ns
-;82316;0;0;0;423;245;4.445699;-nan;-nan;     6m 47s 137ms 291μs 706ns;     3m 36s 133ms  84μs 312ns
