sep=;
Level;Solved;File;Execs;Execs/sec;Score;Distance;Length;GenTime;GenExecs;;Level;Solved;File;Execs;Execs/sec;Score;Distance;Length;GenTime;GenExecs;;Level;Solved;File;Execs;Execs/sec;Score;Distance;Length;GenTime;GenExecs
LV21_1;No;./level21_1/ijon_max/0.stats; 699602; 12.61;1530;;752;43074; 698048;;LV21_2;No;./level21_2/ijon_max/0.stats; 718595; 16.00;1741;;808;40124; 685717;;LV21_3;Yes;level21_3/crashes/id:000000,sig:06,src:000304,op:ijon-max,rep:4; 618894; 20.71;2416;;1116;30961; 473855;;
LV22_1;No;./level22_1/ijon_max/10.stats; 715221; 7.95;1712;;807;40253; 686076;;LV22_2;No;./level22_2/ijon_max/0.stats; 613845; 11.47;1488;;717;21789; 363746;;LV22_3;No;./level22_3/ijon_max/15.stats; 645956; 16.03;1481;;666;28188; 461617;;
LV23_1;No;./level23_1/ijon_max/10.stats; 560220; 11.83;1842;;852;42501; 551373;;LV23_2;No;./level23_2/ijon_max/6.stats; 611100; 14.60;2058;;905;37761; 561148;;LV23_3;No;./level23_3/ijon_max/7.stats; 735994; 22.07;1626;;714;36055; 638347;;
LV24_1;No;./level24_1/ijon_max/6.stats; 576222; 9.51;739;;471;36488; 511514;;LV24_2;No;./level24_2/ijon_max/5.stats; 594872; 13.22;1373;;663;38753; 538418;;LV24_3;No;./level24_3/ijon_max/10.stats; 542424; 8.25;1916;;1095;43192; 542362;;
LV25_1;No;./level25_1/ijon_max/3.stats; 662579; 24.20;1941;;954;39181; 596054;;LV25_2;No;./level25_2/ijon_max/0.stats; 631378; 8.64;1787;;861;38102; 559751;;LV25_3;No;./level25_3/ijon_max/0.stats; 637130; 14.31;1793;;825;30873; 493755;;
LV26_1;No;./level26_1/ijon_max/5.stats; 699113; 6.70;1530;;730;30307; 594849;;LV26_2;No;./level26_2/ijon_max/6.stats; 764053; 17.12;1348;;620;37469; 695678;;LV26_3;No;./level26_3/ijon_max/5.stats; 766530; 25.92;2259;;1024;31820; 584558;;
LV27_1;No;./level27_1/ijon_max/8.stats; 635173; 8.51;1947;;876;43003; 633452;;LV27_2;No;./level27_2/ijon_max/10.stats; 611162; 16.87;1822;;817;42226; 601581;;LV27_3;No;./level27_3/ijon_max/0.stats; 609361; 20.14;1215;;603;18044; 256362;;
LV29_1;No;./level29_1/ijon_max/0.stats; 339435; 3.11;1438;;1745;42135; 336030;;LV29_2;No;./level29_2/ijon_max/0.stats; 328802; 4.48;1504;;1998;42505; 326653;;LV29_3;No;./level29_3/ijon_max/0.stats; 442748; 7.32;1456;;1460;42412; 439572;;
LV30_1;No;./level30_1/ijon_max/0.stats; 616643; 15.00;1998;;913;40245; 577672;;LV30_2;No;./level30_2/ijon_max/3.stats; 515627; 11.90;2818;;1219;43188; 515480;;LV30_3;No;./level30_3/ijon_max/0.stats; 666297; 16.51;1999;;894;34063; 565149;;
LV31_1;No;./level31_1/ijon_max/10.stats; 567484; 6.66;2079;;1002;38461; 528245;;LV31_2;No;./level31_2/ijon_max/10.stats; 600004; 8.75;2193;;991;43143; 599505;;LV31_3;No;./level31_3/ijon_max/7.stats; 559338; 16.07;3217;;1454;43014; 557572;;
LV32_1;No;./level32_1/ijon_max/5.stats; 579186; 14.34;2230;;1153;38337; 528928;;LV32_2;No;./level32_2/ijon_max/7.stats; 512564; 16.10;1396;;653;33678; 423121;;LV32_3;No;./level32_3/ijon_max/7.stats; 575940; 18.34;1486;;672;43075; 574611;;
LV33_1;No;./level33_1/ijon_max/6.stats; 616295; 15.39;1732;;836;39250; 566658;;LV33_2;No;./level33_2/ijon_max/9.stats; 645620; 24.27;1677;;835;37441; 580185;;LV33_3;No;./level33_3/ijon_max/7.stats; 584964; 22.97;1719;;795;43016; 582800;;
LV34_1;No;./level34_1/ijon_max/6.stats; 729816; 11.54;1154;;584;36364; 646988;;LV34_2;No;./level34_2/ijon_max/8.stats; 660512; 18.30;1506;;747;42221; 650951;;LV34_3;No;./level34_3/ijon_max/10.stats; 716272; 18.25;1505;;661;28072; 483909;;
LV35_1;No;./level35_1/ijon_max/3.stats; 676230; 8.70;1439;;678;20882; 397732;;LV35_2;No;./level35_2/ijon_max/10.stats; 633615; 15.50;1905;;850;32795; 513665;;LV35_3;No;./level35_3/ijon_max/10.stats; 615750; 13.49;1606;;735;29747; 511532;;
