ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;9857;21103;10;     4m 23s 919ms 250μs 366ns;7063.117871;             49ms 589μs 583ns;     1m 15s 923ms 747μs 125ns;0.000000;0.000000
21;190336;9841;5603;10;     3m 46s 551ms 740μs 869ns;4100.176991;             91ms 600μs 381ns;        32s 515ms 596μs 402ns;788.000000;0.000000
22;1a2985;10000;5948;10;     3m 45s 748ms  96μs 787ns;4252.800000;             84ms 881μs 344ns;        37s 482ms 233μs 395ns;787.000000;0.000000
2;22c56;9987;10290;10;     3m 41s 411ms  28μs 955ns;5505.067873;             50ms 794μs 825ns;        43s 994ms 730μs 527ns;541.000000;0.000000
42;630e9b;9610;25030;10;    54m 23s 277ms 665μs 803ns;636.959853;            745ms 394μs 796ns;     2m  5s 243ms 599μs 193ns;1218.000000;0.000000
23;1b5929;9657;5270;10;     3m 46s 889ms 906μs 883ns;3962.920354;             87ms  30μs 852ns;        36s 910ms  71μs 715ns;787.000000;0.000000
3;36f7b;9862;8516;10;     4m  7s 692ms 774μs 683ns;4464.291498;             75ms 370μs 656ns;        43s 924ms 271μs 569ns;774.000000;0.000000
24;1c6c7c;9967;6118;10;     4m  4s 230ms 340μs 272ns;3955.327869;             90ms 200μs 333ns;        42s 999ms 152μs 596ns;787.000000;0.000000
4;4b5fa;10000;9317;10;     4m 26s 720ms 781μs 259ns;4357.218045;             80ms 271μs 330ns;     1m  8s 865ms  94μs 872ns;787.000000;0.000000
25;1d9aea;9803;5441;10;     3m 58s 167ms 294μs 825ns;3843.025210;             96ms 720μs 434ns;        35s 233ms   3μs 459ns;787.000000;0.000000
5;60deb;9824;7776;10;     4m  1s 727ms 675μs 395ns;4381.742739;             82ms 220μs 176ns;        46s 348ms 900μs 702ns;788.000000;0.000000
26;1eb909;9947;6903;10;     4m  7s  85ms 999μs 515ns;4093.117409;             89ms 812μs 727ns;        56s 824ms 158μs 301ns;787.000000;0.000000
6;7523c;10000;7083;10;     3m 45s 569ms 858μs 461ns;4555.466667;             75ms 660μs 557ns;        37s 217ms  14μs 663ns;788.000000;0.000000
27;1ff728;9966;6592;10;     3m 59s 280ms 200μs 774ns;4156.820084;             89ms 123μs 453ns;        44s 646ms 292μs 597ns;786.000000;0.000000
