ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
26;12577;1000;60211;4;     4m 59s 405ms 711μs 109ns;12283.143813;             23ms 763μs 824ns;     2m 29s 332ms 621μs 779ns;0.000000;0.000000
25;119be;1000;0;0;        59s 168ms 151μs 783ns;1016.949153;            294ms 936μs 757ns;                          0ns;0.000000;0.000000
24;10e05;1000;0;0;        56s 831ms 346μs  82ns;1071.428571;            283ms 349μs  40ns;                          0ns;0.000000;0.000000
23;1024c;1000;0;0;        54s 342ms 837μs 881ns;1111.111111;            271ms 119μs  70ns;                          0ns;0.000000;0.000000
22;f693;1000;0;0;        54s 123ms 366μs 261ns;1111.111111;            269ms 739μs 679ns;                          0ns;0.000000;0.000000
21;eada;1000;0;0;        51s 102ms 591μs 194ns;1176.470588;            254ms 711μs 872ns;                          0ns;0.000000;0.000000
20;df21;1000;0;0;        46s 837ms 666μs  23ns;1304.347826;            233ms 367μs 919ns;                          0ns;0.000000;0.000000
19;d368;1000;0;0;        44s 973ms 248μs 626ns;1363.636364;            224ms 119μs 947ns;                          0ns;0.000000;0.000000
18;c7af;1000;0;0;        42s 460ms 188μs 808ns;1428.571429;            211ms 493μs 882ns;                          0ns;0.000000;0.000000
17;bbf6;1000;0;0;        40s 836ms 327μs 651ns;1500.000000;            203ms 444μs 658ns;                          0ns;0.000000;0.000000
16;b03d;1000;0;0;        38s 479ms 842μs 516ns;1578.947368;            191ms 677μs 405ns;                          0ns;0.000000;0.000000
15;a484;1000;0;0;        36s 553ms 737μs 567ns;1666.666667;            182ms  95μs 612ns;                          0ns;0.000000;0.000000
14;98cb;1000;0;0;        32s 575ms 768μs  43ns;1875.000000;            162ms 202μs 487ns;                          0ns;0.000000;0.000000
13;8d12;1000;0;0;        31s 595ms  12μs 180ns;1935.483871;            157ms 387μs  11ns;                          0ns;0.000000;0.000000
12;8159;1000;0;0;        30s 701ms 109μs 953ns;2000.000000;            152ms 842μs 495ns;                          0ns;0.000000;0.000000
11;75a0;1000;0;0;        26s 480ms 426μs 371ns;2307.692308;            131ms 770μs 193ns;                          0ns;0.000000;0.000000
10;69e7;1000;0;0;        23s 251ms 397μs 873ns;2608.695652;            115ms 615μs 535ns;                          0ns;0.000000;0.000000
9;5e2e;1000;0;0;        22s 652ms 422μs 542ns;2727.272727;            112ms 646μs 483ns;                          0ns;0.000000;0.000000
8;5275;1000;0;0;        18s 574ms 195μs  27ns;3333.333333;             92ms 313μs   3ns;                          0ns;0.000000;0.000000
7;46bc;1000;0;0;        16s 162ms 772μs 523ns;3750.000000;             80ms 267μs 644ns;                          0ns;0.000000;0.000000
6;3b03;1000;0;0;        14s  13ms 274μs 633ns;4285.714286;             69ms 548μs 391ns;                          0ns;0.000000;0.000000
5;2f4a;1000;0;0;        11s 475ms 551μs 926ns;5454.545455;             56ms 893μs 616ns;                          0ns;0.000000;0.000000
4;2391;1000;0;0;         9s 109ms 290μs 285ns;6666.666667;             45ms  78μs 311ns;                          0ns;0.000000;0.000000
3;17d8;1000;0;0;         7s   4ms 429μs 373ns;8571.428571;             34ms 586μs 206ns;                          0ns;0.000000;0.000000
2;c1f;1000;0;0;         4s 754ms 558μs 939ns;15000.000000;             23ms 336μs 724ns;                          0ns;0.000000;0.000000
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;1000;0;0;         2s 373ms 254μs  76ns;30000.000000;             11ms 433μs 459ns;                          0ns;0.000000;0.000000
