ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
384;32e844;2000;427;10;        57s 239ms 590μs  39ns;2554.736842;                        -25393186137068ns;         5s 256ms 119μs 459ns;2257.000000;0.000000
21;2f527;2000;482;10;        50s 534ms 397μs 489ns;2978.400000;                        -32225879732610ns;         6s 132ms   9μs  18ns;2251.000000;0.000000
385;330931;2000;497;10;        58s 932ms 545μs 239ns;2583.103448;                        -36689214292429ns;         6s 898ms 577μs 846ns;2257.000000;0.000000
22;316cc;2000;483;10;        50s 575ms 717μs 869ns;2979.600000;                        -31999878461995ns;         6s 415ms  81μs  94ns;2251.000000;0.000000
386;332b70;2000;403;10;        58s 880ms 824μs 334ns;2485.862069;                        -27774776835735ns;         5s 448ms 636μs 148ns;2257.000000;0.000000
23;33887;2000;462;10;        50s 173ms  91μs  80ns;2954.400000;                        -30531355301387ns;         5s 425ms 676μs 633ns;2251.000000;0.000000
387;334c08;2000;458;10;        58s  60ms 531μs 539ns;2542.758621;                        -26237679304169ns;         5s 755ms 802μs 922ns;2257.000000;0.000000
24;359de;2000;472;10;        51s 379ms 693μs 434ns;2908.235294;                        -33234773122863ns;         6s 176ms 263μs 764ns;2251.000000;0.000000
388;336da9;2000;435;10;        58s  29ms 169μs 696ns;2518.965517;                        -27187486685031ns;         5s 897ms 764μs 782ns;2257.000000;0.000000
25;37b51;2000;448;10;        50s 297ms 946μs 936ns;2937.600000;                        -28518355544771ns;         6s  54ms 159μs 431ns;2251.000000;0.000000
389;338ed1;2000;490;10;        56s 830ms 502μs 859ns;2667.857143;                        -31819289069171ns;         6s 119ms 909μs  92ns;2257.000000;0.000000
26;39c94;2000;510;10;        50s 848ms 385μs  90ns;3012.000000;                        -31882214283638ns;         7s 144ms 883μs 828ns;2253.000000;0.000000
390;33b0e0;2000;482;10;        54s 903ms 508μs  40ns;2757.777778;                        -32839800813487ns;         6s 473ms 792μs 673ns;2257.000000;0.000000
27;3bef9;2000;479;10;        50s 348ms  47μs 319ns;2974.800000;                        -32934137395281ns;         6s 158ms  42μs 534ns;2253.000000;0.000000
391;33d2d0;2000;523;10;        51s 842ms 479μs 492ns;2968.235294;                        -30067829202264ns;         7s 543ms 895μs 650ns;2236.000000;0.000000
28;3e09d;2000;526;10;        51s 774ms 859μs 575ns;2971.764706;                        -30623299557871ns;         7s 115ms 704μs 222ns;2253.000000;0.000000
392;33f567;2000;428;10;        50s 504ms 479μs 684ns;2913.600000;                        -31716092434019ns;         5s 847ms 657μs 187ns;2236.000000;0.000000
29;4032c;2000;445;10;        49s 433ms 742μs 233ns;2993.877551;                        -29663389561628ns;         5s 871ms 275μs 627ns;2253.000000;0.000000
393;341647;2000;412;10;        50s 618ms 446μs 742ns;2894.400000;                        -26062065800979ns;         5s 426ms 675μs 388ns;2251.000000;0.000000
30;42461;2000;495;10;        51s 945ms 235μs 578ns;2935.294118;                        -31010046509268ns;         6s 913ms 309μs  66ns;2253.000000;0.000000
394;34370c;2000;446;10;        55s 880ms 665μs 385ns;2668.363636;                        -32651577214737ns;         6s 270ms 694μs 983ns;2252.000000;0.000000
31;44684;2000;475;10;        51s   1ms 519μs 489ns;2911.764706;                        -33217789754224ns;         6s 190ms 647μs 569ns;2253.000000;0.000000
