ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
1d8b73;0;64;0;0;0000000000000010;   527m 55s 313ms 741μs 178ns;17000;7200;         7s 996ms  79μs 519ns;2533.000000;2.842479;180.000000;40.000000;0;1;Failing;0;645380
6f271;0;64;0;0;0000000000000010;   119m 20s 646ms 293μs 461ns;17000;8015;         9s 621ms 726μs 415ns;2658.000000;3.015425;160.000000;50.093750;0;1;Failing;0;151726
13c82f;0;64;0;0;0000000000000010;   351m  9s 246ms 995μs 305ns;17000;6708;         7s 706ms 636μs 836ns;2540.000000;2.640945;160.000000;41.925000;0;1;Failing;0;432110
218073;0;64;0;0;0000000000000010;   599m 42s 501ms 252μs 216ns;17000;5077;         7s 667ms 370μs 914ns;2539.000000;1.999606;160.000000;31.731250;0;1;Failing;0;731823
25c931;0;64;0;0;0000000000000010;   677m  6s 117ms  67μs 660ns;17000;1721;         2s 968ms 676μs 517ns;2535.000000;0.678895;160.000000;10.756250;0;1;Failing;0;825412
76b9f;0;64;0;0;0000000000000010;   127m 55s 194ms 411μs 620ns;17000;5103;         6s 354ms 977μs 289ns;2528.000000;2.018592;160.000000;31.893750;0;1;Failing;0;162067
dbfc4;0;64;0;0;0000000000000010;   242m 35s 614ms 251μs 828ns;17000;2735;         4s  57ms 175μs 991ns;2524.000000;1.083597;160.000000;17.093750;0;1;Failing;0;300319
1a4a51;0;64;0;0;0000000000000010;   468m 59s 231ms 312μs 481ns;17000;1797;         2s 875ms 329μs 933ns;2521.000000;0.712812;160.000000;11.231250;0;1;Failing;0;574286
225c12;0;64;0;0;0000000000000010;   615m 12s 359ms 190μs 133ns;0;2583;         3s 534ms 580μs 800ns;1935.000000;1.334884;160.000000;16.143750;0;1;Failing;0;750564
1eadfb;0;64;0;0;0000000000000010;   548m 38s 447ms 375μs 301ns;0;2550;         4s 277ms 740μs  52ns;1930.000000;1.321244;160.000000;15.937500;0;1;Failing;0;670173
a00eb;0;64;0;0;0000000000000010;   174m 59s 212ms 620μs  18ns;0;8205;        10s 216ms 132μs 704ns;1525.000000;5.380328;160.000000;51.281250;0;1;Failing;0;218498
86813;0;64;0;0;0000000000000010;   145m 52s 791ms 927μs 304ns;17000;4136;         7s 393ms 989μs 804ns;2660.000000;1.554887;140.000000;29.542857;0;1;Failing;0;183610
249954;0;64;0;0;0000000000000010;   655m 39s 916ms 896μs 869ns;17000;4830;         7s 529ms 563μs 560ns;2552.000000;1.892633;140.000000;34.500000;0;1;Failing;0;799483
b364c;0;64;0;0;0000000000000010;   196m 58s 152ms 992μs 188ns;17000;6496;         7s 659ms 809μs 240ns;2537.000000;2.560505;140.000000;46.400000;0;1;Failing;0;244898
