ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;9877;16433;10;     3m 52s  46ms 856μs 791ns;6804.310345;             80ms 613μs 285ns;        39s 148ms 801μs 982ns;0.000000;0.000000
41;3022ec;9907;5453;10;     4m 12s 909ms 621μs 421ns;3657.142857;            140ms 935μs 145ns;        22s  68ms 418μs 635ns;786.000000;0.000000
42;3147a7;9929;5405;10;     4m 13s  93ms 372μs 376ns;3636.521739;            144ms 956μs  98ns;        22s 329ms 803μs 661ns;786.000000;0.000000
85;61c693;9933;5602;10;     4m 29s 730ms 137μs 995ns;3465.055762;            137ms  22μs 349ns;        26s 201ms 360μs 203ns;788.000000;0.000000
2;1d2c1;9932;24554;10;     5m 27s 838ms 808μs 643ns;6327.706422;             72ms 350μs 402ns;     1m 18s 821ms 603μs 412ns;661.000000;0.000000
43;326ba3;9975;5289;10;     4m 21s 590ms 171μs 885ns;3508.965517;            146ms 757μs  14ns;        23s 549ms 591μs 539ns;788.000000;0.000000
44;338c19;9909;5268;10;     4m 17s 834ms 346μs 107ns;3543.268482;            146ms 110μs 701ns;        22s 595ms 897μs 505ns;788.000000;0.000000
87;640a99;9947;5439;10;     4m 24s 977ms 900μs 826ns;3496.818182;            143ms 280μs 746ns;        24s 614ms  96μs 894ns;788.000000;0.000000
3;43d7f;9920;11973;10;     4m 25s 779ms 854μs 399ns;4956.905660;            105ms 688μs 152ns;        36s 838ms 530μs 225ns;775.000000;0.000000
45;34ac5e;9898;5778;10;     4m 17s  80ms 993μs  73ns;3659.766537;            139ms 503μs 362ns;        25s 659ms  75μs 766ns;788.000000;0.000000
88;652ff6;9909;5123;10;     4m 30s 261ms 304μs 664ns;3340.444444;            142ms 947μs 312ns;        21s 738ms 111μs 871ns;786.000000;0.000000
4;5c000;9919;8642;10;     4m 18s  91ms 845μs 774ns;4316.511628;            121ms 739μs 596ns;        29s 189ms 960μs   3ns;783.000000;0.000000
46;35d7d5;9946;5153;10;     4m 18s 516ms 595μs 340ns;3511.395349;            146ms 880μs 405ns;        21s 827ms 862μs 548ns;788.000000;0.000000
89;664991;9871;5543;10;     4m 28s 737ms 667μs 697ns;3450.895522;            149ms 222μs 265ns;        25s 714ms 788μs 355ns;786.000000;0.000000
47;36f66c;9893;5277;10;     4m 17s 660ms 858μs  75ns;3541.634241;            146ms 128μs 704ns;        22s 277ms 473μs 625ns;789.000000;0.000000
5;70b5e;9972;9451;10;     4m 23s 427ms 707μs 608ns;4431.102662;            111ms  30μs 168ns;        33s 641ms 803μs  17ns;786.000000;0.000000
90;6772d4;9941;5214;10;     4m 26s 799ms 401μs 842ns;3418.421053;            139ms 728μs  92ns;        24s 328ms 956μs 910ns;786.000000;0.000000
48;3818c2;9997;5438;10;     4m 25s  69ms 918μs 445ns;3494.716981;            141ms 662μs 708ns;        25s 255ms 520μs 655ns;788.000000;0.000000
6;8693d;9918;5804;10;     4m  4s 959ms 385μs 966ns;3866.065574;            136ms 992μs 723ns;        23s 303ms 764μs 494ns;788.000000;0.000000
91;6892f7;9959;5558;10;     4m 33s 881ms 988μs 765ns;3410.329670;            148ms 442μs 114ns;        26s 469ms 719μs 195ns;786.000000;0.000000
49;393ab4;9928;5238;10;     4m 18s 221ms 926μs 517ns;3526.976744;            141ms 508μs 434ns;        23s 220ms 476μs 979ns;788.000000;0.000000
7;99658;9888;5128;10;     4m  4s 933ms 730μs 701ns;3692.459016;            140ms 499μs 219ns;        21s 574ms 402μs 429ns;788.000000;0.000000
92;69b86e;10000;5220;10;     4m 29s 539ms 463μs 632ns;3394.795539;            145ms 433μs 336ns;        25s 243ms 813μs 927ns;788.000000;0.000000
50;3a5892;10000;5504;10;     4m 20s 400ms 983μs  33ns;3577.846154;            141ms 995μs 909ns;        24s 905ms 112μs 189ns;787.000000;0.000000
8;abbad;9926;5050;10;     4m  9s 488ms 548μs 730ns;3608.674699;            147ms 566μs 299ns;        20s 295ms 583μs 371ns;788.000000;0.000000
93;6ad522;9972;5905;10;     4m 35s 154ms 262μs 485ns;3464.072727;            143ms 389μs 428ns;        26s 204ms 911μs 872ns;789.000000;0.000000
51;3b7da9;9902;5169;10;     4m 19s 970ms 239μs 898ns;3491.351351;            149ms 476μs 580ns;        23s 489ms 958μs  16ns;787.000000;0.000000
9;bd69e;9914;4855;10;     4m  9s 853ms 619μs 253ns;3558.795181;            148ms 235μs 448ns;        21s 815ms 458μs 408ns;788.000000;0.000000
94;6c0248;9900;5188;10;     4m 26s 502ms 238μs 947ns;3403.308271;            146ms 806μs 562ns;        24s 274ms 965μs  62ns;786.000000;0.000000
52;3c9884;9989;5263;10;     4m 19s 857ms 635μs 529ns;3533.281853;            144ms 291μs  65ns;        23s 577ms 507μs 351ns;787.000000;0.000000
83;5f92b5;9910;4876;10;     4m 30s 379ms 421μs 477ns;3285.777778;            142ms 692μs 598ns;        23s 175ms 454μs  24ns;787.000000;0.000000
40;2efc0a;9928;5627;10;     4m 22s 831ms 272μs 568ns;3562.213740;            135ms 199μs 460ns;        24s 147ms 562μs 256ns;786.000000;0.000000
82;5e7b5f;9951;5036;10;     4m 30s 735ms 561μs 818ns;3330.444444;            161ms 218μs 651ns;        24s  28ms 944μs 535ns;788.000000;0.000000
39;2dd4d4;9937;5614;10;     4m 16s 833ms 950μs 450ns;3644.765625;            142ms 464μs 859ns;        23s 804ms 363μs 790ns;787.000000;0.000000
81;5d5333;9993;5461;10;     4m 33s 571ms 629μs 247ns;3396.483516;            146ms 827μs 722ns;        23s 812ms 881μs 504ns;789.000000;0.000000
38;2cb8c4;9908;5223;10;     4m 14s 186ms 774μs 750ns;3574.251969;            146ms 867μs 474ns;        21s 434ms 480μs 281ns;787.000000;0.000000
80;5c3448;9946;5311;10;     4m 26s 793ms  49μs 926ns;3441.428571;            151ms 587μs 868ns;        24s 546ms 554μs 925ns;788.000000;0.000000
37;2b909e;9936;5550;10;     4m 16s 222ms 595μs 738ns;3629.531250;            144ms  37μs 555ns;        24s 407ms 744μs 109ns;787.000000;0.000000
79;5b1318;9918;5372;10;     4m 29s 470ms 498μs 268ns;3410.408922;            142ms 194μs 220ns;        23s 821ms 410μs 101ns;788.000000;0.000000
