ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
d3dff;d1e0c;d2150;0;0;0000000000000030;   560m 13s 941ms 685μs 561ns;0;11607;        13s 540ms 799μs 845ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;289226
d4863;d168c;d2150;0;0;0000000000000030;   562m 50s 786ms 959μs 367ns;0;11607;        13s 906ms 260μs 928ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;290112
d4a2a;d1e0c;d2150;0;0;0000000000000030;   563m 17s 434ms 613μs 161ns;0;11607;        11s 801ms 702μs 993ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;290264
dfbcf;df574;dfbae;0;0;0000000000000030;   617m 34s 859ms 763μs 995ns;0;11607;        14s 480ms 708μs 750ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;305422
e1745;dfa33;dfbae;0;0;0000000000000030;   622m  8s 528ms 484μs  19ns;0;11607;        13s  41ms 321μs  49ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;307760
e22cd;dfa33;dfbae;0;0;0000000000000030;   625m  8s  64ms 480μs  54ns;0;11607;        13s  18ms 815μs  49ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;308744
e8b81;e7cc6;e86c2;0;0;0000000000000030;   658m 28s 274ms 505μs 829ns;0;11607;        13s  66ms 676μs 197ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;317681
e96d0;e7d10;e86c2;0;0;0000000000000030;   659m 53s 581ms 957μs 540ns;0;11607;        12s 683ms 704μs 594ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;318640
ea298;e7ef8;e86c2;0;0;0000000000000030;   662m 48s 706ms 835μs 144ns;0;11607;        13s 425ms 881μs  64ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;319645
eee34;ed1e1;ede64;0;0;0000000000000030;   686m 32s 986ms  12μs 585ns;0;11607;        14s 681ms 270μs 903ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;326095
f0214;ed30e;ede64;0;0;0000000000000030;   691m 40s 665ms 542μs 829ns;0;11607;        15s 120ms 843μs 843ns;4284.000000;2.709384;1790.000000;6.484358;0;1;Failing;0;327791
d3651;d1e0c;d2150;0;0;0000000000000030;   558m 18s 929ms 395μs 214ns;0;11606;        14s 823ms 594μs 798ns;4284.000000;2.709150;1790.000000;6.483799;0;1;Failing;0;288570
d99c6;d68c9;d6ce3;0;0;0000000000000030;   584m 46s 330ms 404μs  97ns;0;11606;        15s 735ms 708μs 861ns;4284.000000;2.709150;1790.000000;6.483799;0;1;Failing;0;297055
ee31e;ed30e;ede64;0;0;0000000000000030;   684m 52s 166ms 133μs 759ns;0;11606;        15s  60ms 314μs 114ns;4284.000000;2.709150;1790.000000;6.483799;0;1;Failing;0;325155
e2e25;df9ec;dfbae;0;0;0000000000000030;   628m  3s 796ms 792μs 140ns;0;11605;        13s 242ms 943μs 922ns;4285.000000;2.708285;1790.000000;6.483240;0;1;Failing;0;309712
ccfca;cb949;cc15f;0;0;0000000000000030;   531m  2s 371ms 269μs 431ns;0;11605;        11s 731ms 288μs 105ns;4284.000000;2.708917;1790.000000;6.483240;0;1;Failing;0;279823
eb43e;e7cc6;e86c2;0;0;0000000000000030;   667m  8s 407ms 606μs 500ns;0;11605;        11s 328ms 607μs 287ns;4284.000000;2.708917;1790.000000;6.483240;0;1;Failing;0;321151
ec14e;e7cc6;e86c2;0;0;0000000000000030;   670m 21s  39ms 180μs 494ns;0;11605;        10s 612ms 524μs 722ns;4284.000000;2.708917;1790.000000;6.483240;0;1;Failing;0;322266
ee0ae;e7ef8;ede64;0;0;0000000000000030;   684m 50s 615ms   4μs 447ns;0;11605;        12s  79ms 571μs 598ns;4284.000000;2.708917;1790.000000;6.483240;0;1;Failing;0;324947
f59ca;f24bd;f2982;0;0;0000000000000030;   715m 47s 373ms 249μs 119ns;0;11605;        12s  39ms 135μs 318ns;4284.000000;2.708917;1790.000000;6.483240;0;1;Failing;0;335274
e5abe;e4b36;e4e3d;0;0;0000000000000030;   641m 56s  60ms  31μs 384ns;0;11590;        13s 218ms 443μs 183ns;4284.000000;2.705415;1790.000000;6.474860;0;1;Failing;0;313516
ea664;e7cc6;e86c2;0;0;0000000000000030;   663m 44s 274ms 608μs 192ns;0;11585;        13s 447ms 296μs 202ns;4284.000000;2.704248;1790.000000;6.472067;0;1;Failing;0;319969
f4fab;f24bd;f2982;0;0;0000000000000030;   713m  1s 299ms 894μs 708ns;0;11577;        13s 618ms 107μs  20ns;4284.000000;2.702381;1790.000000;6.467598;0;1;Failing;0;334410
