ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
5f029;5ad2e;5bce3;0;228;4000000000000038;   169m 35s 317ms 706μs 353ns;0;8518;        10s 366ms 519μs 350ns;4286.000000;1.987401;1130.000000;7.538053;0;1;Failing;0;129676
5e818;5ae59;5bce3;0;0;0000000000000030;   167m 44s 956ms 170μs 824ns;0;9641;        11s 990ms 308μs 677ns;4285.000000;2.249942;1890.000000;5.101058;0;1;Failing;0;128988
5d98b;5ae59;5bce3;0;0;0000000000000030;   164m 35s 104ms  80μs 124ns;0;5838;         7s 713ms 651μs 467ns;4285.000000;1.362427;1860.000000;3.138710;0;1;Failing;0;127746
5d8da;5ae59;5bce3;0;0;0000000000000030;   164m 26s 960ms 852μs 240ns;0;6633;         8s 791ms 908μs 336ns;4285.000000;1.547958;1860.000000;3.566129;0;1;Failing;0;127687
e77b5;e5b76;e4e3d;0;0;0000000000000080;   651m 36s 345ms 531μs 671ns;0;-1;         5s 721ms       617ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;315989
cfe93;cf898;cc15f;0;0;4000000000000080;   546m  1s 476ms  69μs  68ns;0;-1;         5s 700ms 509μs 845ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;283815
cfe92;cf898;cc15f;0;0;0000000000000080;   546m  1s 478ms 473μs 494ns;0;-1;         5s 932ms 372μs 780ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;283814
cfe91;cf898;cc15f;0;0;0000000000000080;   546m  1s 475ms 272μs 109ns;0;-1;         6s 227ms 187μs 626ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;283813
cfe94;cf898;cc15f;0;0;0000000000000080;   546m  1s 481ms  85μs 925ns;0;-1;         6s 321ms 506μs 371ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;283816
db086;da773;d6ce3;0;0;0000000000000080;   593m 28s 187ms 377μs   4ns;0;-1;         5s 666ms 799μs 860ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;298995
db07b;da773;d6ce3;0;0;0000000000000080;   593m 28s  78ms 310μs 542ns;0;-1;         6s 430ms 732μs 509ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;298991
db08b;da773;d6ce3;0;0;0000000000000080;   593m 28s 197ms 407μs 664ns;0;-1;         6s 895ms 877μs 408ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;298997
c77c3;c744f;c3a41;0;0;0000000000000080;   505m 30s   1ms 124μs  41ns;0;-1;         5s 691ms  62μs 164ns;4285.000000;0.000000;1790.000000;0.000000;0;1;Unfinished;0;272317
