ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Total Reduction %: Length;Total Reduction %: Primary;Total Reduction %: Secondary;Runtime;Average Test Runtime
-;1426;0;0;0;34;84;11.206735;-nan;-nan;         1s 863ms 967μs  41ns;            437ms 447μs 326ns
-;4280;0;0;0;104;84;33.620205;-nan;-nan;         5s 591ms 901μs 125ns;         1s 312ms 341μs 978ns
