ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;10000;13927;10;     2m 51s 954ms 215μs 387ns;8395.438596;             42ms 808μs 426ns;        33s 400ms 792μs 260ns;0.000000;0.000000
22;18039d;9896;5967;10;     3m 10s 235ms 335μs 832ns;5009.368421;             70ms 394μs 530ns;        24s 205ms 290μs 300ns;885.000000;0.000000
23;193bfe;10000;10118;10;     3m 44s 213ms 829μs 746ns;5388.750000;             73ms 482μs 200ns;        48s 332ms 361μs 978ns;1056.000000;0.000000
2;193b1;10000;12152;10;     2m 43s 115ms 526μs 130ns;8154.110429;             37ms 784μs 603ns;        31s 498ms 126μs 885ns;428.000000;0.000000
40;91fe41;9567;22187;10;    31m 45s 308ms 700μs 125ns;1000.125984;            460ms 705μs 254ns;     1m  2s 161ms 979μs 978ns;1593.000000;0.000000
24;1aebe1;10000;9522;10;     4m  5s 260ms 573μs 186ns;4780.897959;             94ms 217μs 623ns;        41s 447ms 786μs 290ns;1205.000000;0.000000
3;2f41d;10000;8126;10;     2m 45s 747ms 721μs 203ns;6591.272727;             39ms 659μs 976ns;        20s 592ms 941μs 487ns;444.000000;0.000000
4;40448;9996;9263;10;     2m 36s 572ms 861μs 535ns;7407.307692;             39ms  99μs 459ns;        25s 197ms 825μs 220ns;439.000000;0.000000
25;1ca2ef;10000;8256;10;     3m 57s 328ms 722μs 735ns;4621.772152;             97ms 614μs 551ns;        44s 557ms 863μs 721ns;1277.000000;0.000000
5;51a9a;10000;7479;10;     2m 37s 221ms 229μs 694ns;6679.872611;             39ms 604μs 231ns;        18s 359ms 402μs 286ns;444.000000;0.000000
6;61bb8;10000;6374;10;     2m 36s 235ms 577μs 688ns;6297.692308;             40ms 424μs 760ns;        16s 676ms 287μs 340ns;440.000000;0.000000
