ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
3144;210;0;0;0;6;36;36.000000;36.000000;100.000000;0.000000;0.000000;-nan;0.000000;0.000000;-nan;         4s 842ms 200μs 100ns;                          0ns
5b81;1;0;131;9;5;28;28.000000;28.000000;100.000000;3337.000000;3337.000000;100.000000;0.000000;0.000000;-nan;             70ms 931μs 196ns;                          0ns
5b8e;0;1;127;0;5;25;25.000000;25.000000;100.000000;2999.000000;2999.000000;100.000000;0.000000;0.000000;-nan;             21ms 254μs 721ns;                          0ns
5ba6;0;8;130;0;5;27;27.000000;27.000000;100.000000;3317.000000;3317.000000;100.000000;0.000000;0.000000;-nan;             22ms 268μs 864ns;                          0ns
5bbd;0;1;123;0;5;32;0.000000;0.000000;-nan;3342.000000;3342.000000;100.000000;0.000000;0.000000;-nan;             22ms 112μs  44ns;                          0ns
5b4a;0;30;94;0;5;32;0.000000;0.000000;-nan;3302.000000;3302.000000;100.000000;0.000000;0.000000;-nan;             16ms 263μs 128ns;                          0ns
5b52;8;0;144;40;6;33;33.000000;33.000000;100.000000;3310.000000;3310.000000;100.000000;0.000000;0.000000;-nan;            361ms 353μs 189ns;                          0ns
5b1b;1;0;134;11;5;29;29.000000;29.000000;100.000000;3081.000000;3081.000000;100.000000;0.000000;0.000000;-nan;             43ms 979μs 522ns;                          0ns
5b20;0;4;198;0;6;35;0.000000;0.000000;-nan;3349.000000;3349.000000;100.000000;0.000000;0.000000;-nan;              9ms 918μs 905ns;                          0ns
5b23;0;0;145;0;5;29;29.000000;29.000000;100.000000;3076.000000;3076.000000;100.000000;0.000000;0.000000;-nan;             19ms 250μs 511ns;                          0ns
5b36;0;7;149;0;5;31;31.000000;31.000000;100.000000;3365.000000;3365.000000;100.000000;0.000000;0.000000;-nan;              8ms 513μs  98ns;                          0ns
2a26;210;0;0;0;6;36;36.000000;36.000000;100.000000;3302.000000;3302.000000;100.000000;0.000000;0.000000;-nan;         3s 843ms  68μs 962ns;                          0ns
2692;228;0;0;0;6;40;40.000000;40.000000;100.000000;0.000000;0.000000;-nan;0.000000;0.000000;-nan;         5s  53ms 545μs 537ns;                          0ns
1802;72;0;23;79;6;24;25.000000;0.000000;0.000000;2834.000000;2834.000000;100.000000;0.000000;0.000000;-nan;        10s 133ms 796μs 278ns;            733ms 354μs 658ns
1805;29;0;47;56;5;26;26.000000;26.000000;100.000000;2289.000000;2289.000000;100.000000;0.000000;0.000000;-nan;         7s 867ms 383μs 411ns;                          0ns
1808;54;0;21;51;6;21;24.000000;0.000000;0.000000;2400.000000;2400.000000;100.125156;0.000000;0.000000;-nan;        10s 254ms 167μs 639ns;            735ms 534μs 928ns
17d7;82;0;35;101;7;23;25.000000;0.000000;0.000000;2424.000000;2424.000000;100.000000;0.000000;0.000000;-nan;        10s 368ms  80μs 273ns;            860ms 577μs   8ns
17e2;92;0;46;122;8;22;25.000000;0.000000;0.000000;2400.000000;2400.000000;100.166945;0.000000;0.000000;-nan;        10s 872ms 758μs 446ns;         3s 537ms  16μs 314ns
17e9;69;0;15;48;6;21;23.000000;0.000000;0.000000;2400.000000;2400.000000;100.083403;0.000000;0.000000;-nan;         9s 567ms 846μs  81ns;            522ms 460μs 314ns
17f6;73;0;34;63;7;19;22.000000;0.000000;0.000000;2399.000000;2399.000000;100.000000;0.000000;0.000000;-nan;        10s 497ms 164μs 943ns;         1s 235ms 138μs 233ns
17f9;31;0;55;60;5;29;29.000000;29.000000;100.000000;2268.000000;2268.000000;100.000000;0.000000;0.000000;-nan;         4s 429ms 832μs 335ns;                          0ns
17fc;58;0;19;57;6;17;18.000000;0.000000;0.000000;2400.000000;2400.000000;106.904232;0.000000;0.000000;-nan;         9s 851ms  88μs 539ns;            698ms  19μs 542ns
17ff;85;0;27;88;6;28;29.000000;0.000000;0.000000;2834.000000;2834.000000;100.141343;0.000000;0.000000;-nan;        10s  13ms 550μs 752ns;            783ms 736μs 159ns
