ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
30ab;207;3;0;0;6;36;36.000000;36.000000;100.000000;0.000000;0.000000;-nan;0.000000;0.000000;-nan;         1s 828ms 575μs 496ns;                          0ns
94a7;4;0;136;12;5;30;30.000000;30.000000;100.000000;3333.000000;3333.000000;100.000000;0.000000;0.000000;-nan;            134ms 275μs  93ns;                          0ns
94aa;3;0;137;12;5;30;30.000000;30.000000;100.000000;3349.000000;3349.000000;100.000000;0.000000;0.000000;-nan;            135ms 942μs 383ns;                          0ns
94b7;0;0;124;0;5;32;0.000000;0.000000;-nan;3312.000000;3312.000000;100.000000;0.000000;0.000000;-nan;             18ms 618μs 668ns;                          0ns
94cc;0;3;199;0;6;35;0.000000;0.000000;-nan;3362.000000;3362.000000;100.000000;0.000000;0.000000;-nan;             18ms 372μs 866ns;                          0ns
94d2;6;0;122;10;5;27;27.000000;27.000000;100.000000;3059.000000;3059.000000;100.000000;0.000000;0.000000;-nan;            169ms 797μs 220ns;                          0ns
94e4;0;21;181;0;6;35;0.000000;0.000000;-nan;3234.000000;3234.000000;100.000000;0.000000;0.000000;-nan;             16ms   8μs 802ns;                          0ns
94ed;0;0;138;0;5;27;27.000000;27.000000;100.000000;3051.000000;3051.000000;100.000000;0.000000;0.000000;-nan;             26ms 539μs 574ns;                          0ns
951f;0;11;110;3;5;32;32.000000;32.000000;100.000000;3572.000000;3572.000000;100.000000;0.000000;0.000000;-nan;             18ms  56μs 982ns;                          0ns
952e;0;35;163;0;6;34;34.000000;34.000000;100.000000;3452.000000;3452.000000;100.000000;0.000000;0.000000;-nan;             24ms   4μs 630ns;                          0ns
9549;0;27;174;1;6;35;0.000000;0.000000;-nan;3397.000000;3397.000000;100.000000;0.000000;0.000000;-nan;             25ms 631μs 238ns;                          0ns
2e8a;228;0;0;0;6;40;40.000000;40.000000;100.000000;0.000000;0.000000;-nan;0.000000;0.000000;-nan;         2s 990ms 503μs 453ns;                          0ns
293a;210;0;0;0;6;36;36.000000;36.000000;100.000000;3349.000000;3349.000000;100.000000;0.000000;0.000000;-nan;         4s 703ms 196μs 858ns;                          0ns
28c4;202;0;0;0;6;35;35.000000;35.000000;100.000000;3381.000000;3381.000000;100.000000;0.000000;0.000000;-nan;         4s 804ms 903μs  52ns;                          0ns
575b;228;0;0;0;6;40;40.000000;40.000000;100.000000;3349.000000;3349.000000;100.000000;0.000000;0.000000;-nan;         3s 761ms 940μs 957ns;                          0ns
83af;214;0;0;0;7;34;41.000000;34.000000;82.926829;3452.000000;3452.000000;inf;0.000000;0.000000;-nan;         3s 963ms 889μs 128ns;            895ms 840μs  14ns
1841;76;0;19;67;6;21;22.000000;0.000000;0.000000;2400.000000;2400.000000;100.000000;0.000000;0.000000;-nan;        10s 862ms 622μs 959ns;            577ms  47μs 255ns
1800;84;0;25;85;6;27;28.000000;0.000000;0.000000;2396.000000;2396.000000;100.000000;0.000000;0.000000;-nan;        10s 578ms 486μs  99ns;            164ms 137μs 410ns
180b;75;0;22;71;6;22;23.000000;0.000000;0.000000;2397.000000;2397.000000;100.000000;0.000000;0.000000;-nan;        10s 118ms 486μs 354ns;            222ms 826μs  84ns
1818;67;0;24;73;7;16;18.000000;0.000000;0.000000;2400.000000;2400.000000;100.041684;0.000000;0.000000;-nan;        11s 399ms 640μs 563ns;            877ms 472μs 101ns
1822;78;0;20;70;6;22;23.000000;0.000000;0.000000;2831.000000;2831.000000;100.000000;0.000000;0.000000;-nan;        10s 562ms 244μs 668ns;            675ms 121μs 605ns
1834;69;0;27;42;7;18;22.000000;0.000000;0.000000;2403.000000;2403.000000;100.208507;0.000000;0.000000;-nan;        11s 522ms 115μs 443ns;            629ms 679μs 377ns
17d7;74;0;22;72;6;22;23.000000;0.000000;0.000000;2702.000000;2702.000000;101.846966;0.000000;0.000000;-nan;         9s 640ms 790μs 743ns;                        -1158380725905946ns
17dc;124;0;27;131;8;24;27.000000;0.000000;0.000000;2834.000000;2834.000000;100.141343;0.000000;0.000000;-nan;        11s 707ms 693μs  50ns;         4s 262ms 312μs 146ns
17e4;94;0;27;85;9;18;27.000000;0.000000;0.000000;2397.000000;2397.000000;99.833403;0.000000;0.000000;-nan;        12s 106ms 967μs 839ns;            689ms 227μs 713ns
17f3;75;0;18;75;6;23;24.000000;0.000000;0.000000;2891.000000;2891.000000;102.083333;0.000000;0.000000;-nan;        10s 106ms 572μs 537ns;         1s  31ms 845μs 961ns
